"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Column1,Column2,Column3,Column4,Column5,Column6
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the
month under
review
(Aug-2023)","During the
current Year
Upto the
month under
review","During the
month under
review
(Aug-2023)","During the
current Year
Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,4110,28289,2853,17827
2,Mysuru City,208,1682,69,501
3,Hubballi Dharwad City,171,1163,110,785
4,Mangaluru City,175,1355,137,729
5,Belagavi City,123,1162,29,291
6,Kalaburagi City,175,1443,78,445
,Central Range,,,,
1,Bengaluru Dist,771,4811,136,1260
2,Ramanagara,365,2755,84,798
3,Tumakuru,567,4107,179,1352
4,Kolar,235,1671,58,455
5,Chickballapura,280,1736,119,835
6,K.G.F,90,558,62,366
,Eastern Range,,,,
1,Chitradurga,410,2833,134,1125
2,Davanagere,373,2533,129,808
3,Shivamogga,427,3001,174,1178
4,Haveri,225,1575,100,644
,Western Range,,,,
1,Dakshina Kannada,190,1173,42,304
2,Udupi,160,1479,62,660
3,Chikkamagaluru,252,1989,145,916
4,Uttara Kannada,220,1553,130,721
,Northern Range,,,,
1,Belagavi Dist,396,3230,173,1506
2,Bagalkot,157,1507,85,659
3,Vijayapur,289,2008,115,1004
4,Dharwad,109,840,50,361
5,Gadag,108,823,66,639
,North Eastern Range,,,,
1,Kalaburagi,257,1709,97,777
2,Bidar,272,2062,171,866
3,Yadgir,137,968,99,582
,Southern Range,,,,
1,Mysuru Dist,387,2928,94,692
2,Mandya,480,3354,104,800
3,Chamarajanagar,193,1241,60,515
4,Hassan,443,3326,135,942
5,Kodagu,162,1006,67,393
,Ballari Range,,,,
1,Ballari,235,1303,131,814
2,Koppal,171,1219,91,562
3,Raichur,224,1740,139,1008
36,Vijayanagara,186,1256,148,929
,Karnataka Railways,82,623,6,69
,STATE,13816,98013,6661,45126
