MAJOR HEADS FOR THE MONTH OF AUGUST-2023,,,,,,,,,,,,,,,,,,,,,,
SL.NO.,DISTRICTS/UNITS,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,BURGLARY DAY,"BURGLARY
NIGHT",THEFT,RIOTING,HURT,"CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
ATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,12,64,20,3,100,33,107,1230,22,363,73,3,62,395,124,30,66,92,1761,57,
2,Mysuru City,2,5,0,0,2,0,9,46,0,24,4,0,9,63,12,1,6,12,26,11,
3,Hubballi Dharwad City,1,3,1,0,1,1,6,29,4,16,7,0,8,48,8,1,24,0,55,4,
4,Mangaluru City,1,5,1,1,1,1,7,19,0,11,4,0,14,63,7,3,11,3,13,4,
5,Belagavi City,3,2,0,0,2,3,9,20,3,2,2,0,9,38,2,1,12,1,7,2,
6,Kalaburagi City,1,4,1,1,4,4,9,38,5,18,4,1,8,29,7,6,39,8,3,1,
,Central Range,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru Dist,10,13,1,1,12,9,22,189,6,69,24,0,55,164,26,8,9,2,63,11,
2,Ramanagara,3,7,0,1,2,5,10,53,3,63,7,0,32,91,28,7,14,3,18,11,
3,Tumakuru,4,19,1,0,5,7,16,91,7,86,3,0,60,160,28,12,51,12,36,15,
4,Kolar,4,3,1,1,4,3,8,55,16,40,1,0,21,36,8,4,16,1,9,7,
5,Chickballapura,1,4,3,2,6,2,6,45,6,49,5,0,27,57,19,5,38,0,22,15,
6,K.G.F,1,5,0,0,0,1,9,15,4,16,2,0,4,13,2,2,5,3,9,5,
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Chitradurga,1,9,0,0,5,2,14,62,24,62,25,1,24,112,33,6,43,2,6,17,
2,Davanagere,2,15,2,0,6,3,22,86,15,36,11,0,16,50,25,13,59,10,9,11,
3,Shivamogga,6,14,0,1,4,2,17,43,18,77,6,0,23,105,26,14,34,15,3,25,
4,Haveri,0,9,0,0,2,2,18,49,17,27,4,0,21,43,5,2,67,7,9,8,
,Western Range,,,,,,,,,,,,,,,,,,,,,
1,Dakshina Kannada,1,5,0,0,2,4,10,19,3,18,7,0,6,57,11,2,4,0,7,10,5
2,Udupi,0,3,2,0,0,3,11,12,5,8,2,0,9,72,2,2,19,1,9,5,
3,Chikkamagaluru,4,3,1,0,0,4,11,38,6,49,6,0,17,56,19,4,27,2,11,14,
4,Uttara Kannada,0,6,1,0,3,2,10,26,3,17,7,1,20,62,18,0,48,1,18,7,
,Northern Range,,,,,,,,,,,,,,,,,,,,,
1,Belagavi Dist,4,15,1,1,5,3,15,44,20,34,11,0,36,124,29,13,92,1,12,12,
2,Bagalkot,2,8,1,2,0,7,4,19,4,10,2,0,28,34,10,3,53,3,3,4,
3,Vijayapur,10,12,0,0,1,4,7,30,13,42,13,1,25,41,20,7,63,0,11,11,
4,Dharwad,0,6,0,0,0,1,8,17,7,11,3,0,13,31,1,1,30,0,5,0,
5,Gadag,2,5,2,0,2,1,8,24,10,5,4,0,10,17,3,4,36,0,5,4,
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Kalaburagi,1,1,1,0,0,2,12,57,21,30,12,0,29,55,7,6,61,0,2,7,
2,Bidar,1,4,0,0,5,5,19,40,10,43,9,1,18,63,4,2,106,2,4,5,
3,Yadgir,1,2,1,1,0,2,2,20,11,22,3,0,12,20,14,6,61,1,4,5,
,Southern Range,,,,,,,,,,,,,,,,,,,,,
1,Mysuru Dist,3,9,2,0,5,2,25,45,9,77,6,1,30,103,18,4,19,0,6,17,
2,Mandya,5,6,0,3,7,2,16,62,6,80,9,1,34,152,27,7,25,2,6,8,
3,Chamarajanagar,0,4,0,1,1,1,6,16,4,46,3,0,16,43,16,4,13,1,4,4,
4,Hassan,5,18,1,0,3,6,16,48,10,65,9,0,39,140,24,10,17,12,16,9,
5,Kodagu,2,6,1,0,1,1,11,9,0,31,3,0,6,37,10,1,5,0,8,8,
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
1,Ballari,3,4,0,0,1,4,5,62,11,20,14,1,21,35,5,1,63,2,7,6,
2,Koppal,2,3,1,0,2,2,8,36,11,13,9,1,16,33,4,6,61,0,4,2,
3,Raichur,4,5,3,0,0,2,2,60,13,22,14,0,18,25,22,9,92,2,2,6,
4,Vijayanagara,0,6,2,1,0,0,6,40,6,9,9,1,16,39,8,6,93,4,3,5,
,Karnataka Railways,0,0,0,0,3,0,0,76,0,3,0,0,0,0,0,0,0,0,0,0,
,STATE,102,312,51,19,197,136,501,2870,333,1614,337,13,812,2706,632,213,1482,205,2196,353,
