Aadhaar e-Sign details of Chargesheet for the Month of August 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Bagalkot District,254,236,92.91
2,K.G.F District,145,123,84.83
3,KODAGU(Madikeri) District,107,82,76.64
4,Chamarajanagar District,110,83,75.45
5,Belagavi District,152,109,71.71
6,Hubballi Dharwad City,65,46,70.77
7,Dakshina Kannada District,160,107,66.88
8,Davanagere District,56,31,55.36
9,Tumakuru District,80,42,52.50
10,Kolar District,108,51,47.22
11,Ramanagara District,187,79,42.25
12,Mysuru City,158,50,31.65
13,Hassan District,108,27,25.00
14,Mangalore COP,155,37,23.87
15,Bengaluru City,85,19,22.35
16,Mysuru District,395,58,14.68
17,Bengaluru District,223,29,13.00
18,Mandya District,89,10,11.24
19,Kalaburagi City,159,12,7.55
20,Shivamogga District,279,15,5.38
21,Gadag District,185,9,4.86
22,Raichur District,126,6,4.76
23,Uttara Kannada District,227,8,3.52
24,Haveri District,2500,69,2.76
25,Chickballapura District,55,1,1.82
26,Chitradurga District,337,5,1.48
27,Udupi District,70,1,1.43
28,Chikkamagaluru District,260,3,1.15
29,Vijayapur District,195,2,1.03
30,SP Railways,217,1,0.46
31,Dharwad District,253,0,0.00
32,Ballari District,189,0,0.00
33,Koppal District,203,0,0.00
34,Kalaburagi District,46,0,0.00
35,Belagavi City,322,0,0.00
36,Bidar District,18,0,0.00
37,Vijayanagara District,142,0,0.00
38,Yadgir District,157,0,0.00
TOTAL,,8577,1351,15.75
