MAJOR HEADS FOR THE MONTH OF SEPTEMBER-2023,,,,,,,,,,,,,,,,,,,,,,
SL.NO.,DISTRICTS/UNITS,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
DAY","BURGLARY
NIGHT",THEFT,RIOTING,HURT,"CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
ATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO-
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,21,47,14,12,70,17,87,978,17,400,58,3,83,376,104,29,2425,83,1614,39,84
2,Mysuru City,1,5,0,0,4,1,6,38,2,36,5,0,11,76,4,4,201,18,22,4,4
3,Hubballi Dharwad City,2,5,2,1,2,3,8,24,5,16,9,0,13,43,2,1,142,0,38,4,4
4,Mangaluru City,0,8,2,0,1,4,6,20,1,16,3,0,9,83,4,1,162,3,19,3,3
5,Belagavi City,0,7,0,2,1,1,5,12,4,8,2,0,7,29,0,1,80,0,6,0,1
6,Kalaburagi City,0,4,0,0,4,3,13,28,6,11,9,2,8,21,2,4,120,6,6,1,4
,Central Range,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru Dist,2,10,0,4,8,7,30,170,11,68,21,1,45,165,21,9,590,4,76,10,8
2,Ramanagara,2,4,1,4,7,2,9,38,3,48,5,1,24,105,24,8,300,1,23,8,8
3,Tumakuru,1,8,3,0,7,7,18,73,5,67,10,1,56,151,25,6,459,11,21,14,10
4,Kolar,4,6,0,0,3,2,6,26,17,28,2,0,26,53,5,8,194,4,5,5,3
5,Chickballapura,4,5,2,0,2,1,14,34,20,45,3,3,15,67,15,11,254,1,35,11,4
6,K.G.F,0,3,0,0,1,2,1,7,0,20,2,0,8,13,2,2,64,1,11,2,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Chitradurga,1,5,1,1,3,1,8,30,22,52,8,2,31,123,30,4,332,2,5,7,4
2,Davanagere,0,5,2,0,6,1,21,38,16,33,7,1,24,55,13,7,239,7,2,4,8
3,Shivamogga,1,14,2,1,5,0,17,26,18,61,2,1,22,102,33,10,336,10,3,16,7
4,Haveri,0,8,1,0,2,3,8,50,26,24,2,0,13,41,8,4,199,4,10,7,3
,Western Range,,,,,,,,,,,,,,,,,,,,,
1,Dakshina Kannada,0,0,0,1,1,2,9,10,4,14,2,0,6,60,5,8,126,1,2,3,1
2,Udupi,1,0,1,0,3,3,3,25,1,13,5,0,12,92,4,5,177,0,15,6,4
3,Chikkamagaluru,1,11,0,1,1,1,6,23,7,52,8,0,20,65,15,6,232,2,11,14,1
4,Uttara Kannada,3,3,2,0,5,1,4,16,11,26,3,0,11,60,16,5,177,0,6,6,7
,Northern Range,,,,,,,,,,,,,,,,,,,,,
1,Belagavi Dist,9,14,3,3,3,4,10,50,21,32,10,0,48,118,21,5,361,1,6,7,6
2,Bagalkot,3,8,1,3,1,5,9,28,6,11,1,1,26,46,14,6,176,2,4,6,2
3,Vijayapur,7,12,1,0,0,4,7,27,9,33,7,1,29,52,17,10,222,0,11,6,1
4,Dharwad,0,0,0,0,0,2,1,10,3,16,0,1,17,18,0,3,77,0,2,6,0
5,Gadag,0,4,1,0,1,2,4,21,6,12,2,1,10,9,4,4,86,0,2,4,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Kalaburagi,3,7,3,0,1,1,6,34,16,17,7,0,21,42,10,3,176,3,5,4,4
2,Bidar,1,3,0,0,2,1,19,25,10,37,12,0,21,48,7,5,197,0,7,4,2
3,Yadgir,1,2,2,0,1,0,1,19,2,15,4,0,8,27,10,1,98,1,0,4,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
1,Mysuru Dist,3,5,0,0,7,4,15,34,13,104,4,1,31,121,35,5,397,0,5,8,7
2,Mandya,4,7,0,0,4,4,15,43,3,57,5,0,45,147,26,5,375,6,2,6,4
3,Chamarajanagar,3,5,1,1,1,0,6,14,9,47,3,0,12,39,22,2,171,0,5,5,2
4,Hassan,0,6,2,1,5,3,14,47,5,77,3,1,33,155,24,5,403,6,13,17,7
5,Kodagu,4,6,0,1,0,6,9,13,1,25,2,0,5,31,3,5,119,3,16,8,0
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
1,Ballari,2,3,2,0,2,1,4,57,12,17,10,0,20,21,2,2,166,2,8,9,4
2,Koppal,3,2,0,0,1,0,3,27,5,10,6,0,18,33,4,0,115,0,1,2,1
3,Raichur,3,5,1,0,0,1,1,40,15,15,7,1,22,26,14,7,161,6,3,3,1
4,Vijayanagara,0,10,1,0,2,1,6,31,0,10,7,0,24,27,7,1,134,2,1,5,3
,Karnataka Railways,0,1,0,0,3,0,0,63,0,1,0,0,0,0,1,0,72,0,0,0,3
,STATE,90,258,51,36,170,101,409,2249,332,1574,256,22,834,2740,553,202,0,190,2021,268,221
