MAJOR HEADS FOR THE YEAR 2023 (UPTO SEPTEMBER),,,,,,,,,,,,,,,,,,,,,,
SL.NO.,DISTRICTS/UNITS,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
DAY","BURGLARY
NIGHT",THEFT,RIOTING,HURT,"CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
ATION",SC/ST,"GAMBLI
NG",DP ACT,"CYBER
CRIME",POCSO,"POCSO-
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,161,422,127,79,598,210,654,7831,110,2665,511,20,635,3082,841,161,502,83,12615,427,300
2,Mysuru City,24,39,11,2,42,12,72,344,2,232,27,2,107,581,52,15,41,18,165,50,28
3,Hubballi Dharwad City,16,37,5,7,17,7,66,189,29,134,79,0,86,332,33,22,259,,365,33,17
4,Mangaluru City,14,38,14,2,10,12,35,146,11,114,21,1,109,609,53,25,88,3,187,40,20
5,Belagavi City,16,27,6,2,15,19,106,204,57,110,59,0,87,322,30,9,95,,65,15,10
6,Kalaburagi City,21,37,9,7,50,24,101,371,47,188,65,5,84,267,39,27,213,6,24,18,11
,Central Range,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru Dist,46,86,14,16,76,56,193,1163,97,486,133,9,473,1361,158,78,147,4,525,93,47
2,Ramanagara,26,55,9,20,28,35,92,378,36,477,41,2,295,914,177,47,144,1,127,82,70
3,Tumakuru,32,93,15,4,58,48,155,589,43,638,58,3,525,1324,247,68,424,11,176,129,79
4,Kolar,33,53,7,4,24,13,32,274,115,306,19,4,173,391,61,47,102,4,47,47,40
5,Chickballapura,17,36,9,3,19,22,74,216,114,343,22,6,225,478,83,31,205,1,175,113,98
6,K.G.F,8,19,4,0,2,10,30,72,17,154,15,2,50,106,24,17,27,1,82,25,20
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Chitradurga,21,54,9,1,26,15,89,306,198,427,89,6,337,967,256,37,476,2,39,93,60
2,Davanagere,18,91,11,8,53,15,153,549,109,264,62,6,216,589,168,75,393,7,57,76,53
3,Shivamogga,28,92,4,15,28,10,101,290,131,601,61,3,256,876,241,71,272,10,22,146,114
4,Haveri,7,62,15,7,11,14,105,296,187,219,25,1,188,389,62,27,365,4,68,63,52
,Western Range,,,,,,,,,,,,,,,,,,,,,
1,Dakshina Kannada,6,19,7,1,14,14,60,63,32,132,21,0,96,587,36,39,24,1,38,63,32
2,Udupi,8,15,10,2,14,17,57,107,20,136,25,0,169,752,48,29,157,,101,39,30
3,Chikkamagaluru,27,43,6,3,10,22,76,200,66,424,49,0,184,562,155,66,175,2,67,78,51
4,Uttara Kannada,11,39,12,1,20,12,41,143,50,235,37,2,166,587,131,24,339,,64,46,30
,Northern Range,,,,,,,,,,,,,,,,,,,,,
1,Belagavi Dist,56,98,16,6,25,25,118,412,202,327,87,4,543,1008,229,68,661,1,56,85,74
2,Bagalkot,26,69,8,12,12,26,86,187,78,119,13,3,278,369,136,33,288,2,36,50,38
3,Vijayapur,46,75,13,7,2,23,79,266,99,288,91,7,320,439,126,54,477,,68,73,57
4,Dharwad,13,28,3,0,5,7,45,105,40,98,21,4,178,218,29,26,142,,30,35,29
5,Gadag,12,26,4,0,9,6,46,138,85,80,28,2,111,151,55,28,264,,39,34,29
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
1,Kalaburagi,41,43,7,2,7,18,63,270,132,252,54,1,233,441,75,22,338,3,16,42,37
2,Bidar,29,40,2,2,27,21,131,264,100,402,79,2,238,572,48,34,505,,26,36,26
3,Yadgir,13,20,6,3,4,4,23,179,82,142,28,0,113,212,72,23,299,1,9,28,26
,Southern Range,,,,,,,,,,,,,,,,,,,,,
1,Mysuru Dist,24,48,12,4,31,23,159,284,114,691,48,6,332,947,214,51,151,,26,110,68
2,Mandya,30,62,2,6,38,28,99,389,44,613,70,3,378,1304,233,52,243,6,37,93,52
3,Chamarajanagar,16,32,2,2,15,11,51,93,67,298,19,2,116,363,137,34,91,,28,55,38
4,Hassan,26,102,9,3,43,33,116,344,64,682,56,5,349,1202,200,64,118,6,88,120,84
5,Kodagu,20,37,6,1,2,23,42,65,2,248,15,0,57,336,40,30,31,3,77,51,39
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
1,Ballari,13,42,5,2,11,20,55,309,63,133,70,1,188,246,46,23,434,2,50,33,17
2,Koppal,19,28,12,0,11,17,54,221,51,110,55,3,183,295,53,26,326,,13,45,39
3,Raichur,29,41,16,2,3,15,45,412,176,174,85,3,200,283,147,61,589,6,18,58,48
4,Vijayanagara,13,52,11,1,2,8,43,218,60,133,46,1,186,280,79,35,427,2,11,91,57
,Karnataka Railways,7,3,0,1,23,0,2,604,1,16,0,0,1,1,5,0,0,,0,3,3
,STATE,973,2203,438,238,1385,895,3549,18491,2931,13091,2284,119,8465,23743,4819,1579,9832,190,15637,2718,1923
