Aadhaar e-Sign details of Chargesheet for the Month of September 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Mangalore COP,90,61,67.78
2,Udupi District,200,117,58.50
3,Ballari District,250,92,36.80
4,Bagalkot District,302,106,35.10
5,Hubballi Dharwad City,129,44,34.11
6,Uttara Kannada District,186,57,30.65
7,Chamarajanagar District,181,54,29.83
8,Belagavi District,244,69,28.28
9,Vijayapur District,170,44,25.88
10,Dharwad District,126,25,19.84
11,Gadag District,99,19,19.19
12,KODAGU(Madikeri) District,166,31,18.67
13,Haveri District,191,23,12.04
14,Dakshina Kannada District,125,15,12.00
15,Koppal District,199,22,11.06
16,Belagavi City,105,8,7.62
17,Kalaburagi District,208,11,5.29
18,Hassan District,418,21,5.02
19,Bengaluru City,3587,161,4.49
20,Mysuru City,198,7,3.54
21,Mysuru District,463,14,3.02
22,Mandya District,553,11,1.99
23,Chickballapura District,270,5,1.85
24,Davanagere District,370,5,1.35
25,Tumakuru District,523,7,1.34
26,Shivamogga District,362,4,1.10
27,Chikkamagaluru District,355,2,0.56
28,Raichur District,291,1,0.34
29,Bengaluru District,538,0,0.00
30,Bidar District,370,0,0.00
31,Chitradurga District,393,0,0.00
32,K.G.F District,97,0,0.00
33,Kalaburagi City,146,0,0.00
34,Kolar District,145,0,0.00
35,Ramanagara District,416,0,0.00
36,SP Railways,21,0,0.00
37,Vijayanagara District,310,0,0.00
38,Yadgir District,162,0,0.00
Total,,12959,1036,7.99
