"CASES REPORTED UNDER IPC/BNS AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC/BNS CRIMES,,SLL CRIMES,
,,"During the month
under review
(March-2026)","During the current
Year Upto the month
under review","During the month
under review
(March -2026)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2872,8669,1697,5483
2,Mysuru City,221,291,69,261
3,Hubballi Dharwad City,176,491,129,256
4,Mangaluru City,176,564,92,291
5,Belagavi City,159,436,59,222
6,Kalaburagi City,125,376,50,218
,Central Range,,,,
1,Bengaluru Dist,449,1322,61,218
2,Bengaluru South,310,867,121,264
3,Tumakuru,551 1584,,232,514
4,Kolar,192,569,60,146
5,Chickballapura,215,586,239,478
6,K.G.F,56,173,40,101
,Eastern Range,,,,
1,Chitradurga,340,996,415,674
2,Davanagere,273,871,143,420
3,Shivamogga,415,1275,232,570
4,Haveri,232,626,149,275
,Western Range,,,,
1,Dakshina Kannada,187,522,45,123
2,Udupi,173,525,51,142
3,Chikkamagaluru,257,726,132,346
4,Uttara Kannada,203,627,128,410
,Northern Range,,,,
1,Belagavi Dist,680,2112,216,721
2,Bagalkot,209,595,117,289
3,Vijayapur,288,799,424,643
4,Dharwad,100,302,64,157
5,Gadag,106,298,93,280
,North Eastern Range,,,,
1,Kalaburagi,231,662,106,222
2,Bidar,289,734,70,282
3,Yadgir,177,457,116,293
,Southern Range,,,,
1,Mysuru Dist,463,1304,127,385
2,Mandya,469,1406,187,496
3,Chamarajanagar,139,471,190,299
4,Hassan,399,1154,160,485
5,Kodagu,148,454,92,290
,Ballari Range,,,,
1,Ballari,206,594,82,296
2,Koppal,166,463,114,355
3,Raichur,280,790,199,644
4,Vijayanagara,173,447,211,439
,Karnataka Railways,51,112,14,49
,STATE,12156,35250,6726,18037
