MAJOR HEADS FOR THE MONTH OF MARCH-2026,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,17,57,10,7,27,8,41,710,36,2,392,33,6,89,396,109,16,98,71,695,46,17
2,Mysuru City,0,2,1,0,0,1,7,21,0,0,39,1,0,10,80,9,1,5,11,19,6,3
3,Hubballi Dharwad City,0,22,0,0,0,2,6,16,0,4,14,6,1,10,15,9,3,45,0,15,1,3
4,Mangaluru City,1,6,3,0,0,1,3,13,0,0,13,2,0,14,66,3,3,8,1,9,1,1
5,Belagavi City,1,3,1,0,1,1,7,10,0,5,34,5,0,15,38,3,1,14,2,8,1,0
6,Kalaburagi City,0,3,1,0,2,0,6,14,0,4,17,4,0,9,41,0,2,20,0,2,3,0
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,7,7,0,3,3,3,14,54,0,6,75,10,1,29,121,19,5,5,3,20,3,5
8,Bengaluru South,0,15,1,0,2,0,11,32,0,1,45,3,1,46,89,13,7,46,3,20,9,2
9,Tumakuru,6,14,2,1,5,8,9,50,0,6,68,8,0,61,156,41,16,121,8,13,16,3
10,Kolar,2,5,0,0,1,1,4,16,0,10,26,3,0,29,48,10,3,25,4,4,5,1
11,Chickballapura,5,8,1,0,0,1,4,17,0,13,51,3,1,30,42,13,2,119,2,14,21,2
12,K.G.F,1,2,0,0,0,3,3,3,0,0,10,1,0,3,16,0,0,3,0,4,4,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,2,8,2,1,0,1,8,22,3,22,51,8,0,34,83,38,4,326,2,7,4,4
14,Davanagere,1,9,1,0,2,1,3,43,0,20,27,9,0,15,87,11,5,46,2,6,3,2
15,Shivamogga,1,28,3,0,4,3,7,51,0,8,98,8,1,32,70,24,10,36,6,6,12,3
16,Haveri,0,10,2,0,2,0,11,34,0,24,27,2,1,27,51,11,5,69,2,12,9,0
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,5,2,0,0,0,4,19,0,8,24,1,0,12,64,5,2,11,0,8,7,3
18,Udupi,1,6,0,0,0,4,4,13,0,1,12,2,0,19,71,7,8,9,1,12,2,1
19,Chikkamagaluru,1,8,0,1,2,2,4,14,0,6,63,5,1,16,56,14,9,26,2,9,9,5
20,Uttara Kannada,0,12,0,0,3,2,5,10,0,5,26,5,0,25,59,11,6,42,0,4,3,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,18,3,3,2,4,10,68,0,47,97,15,0,55,137,36,19,44,3,10,13,5
22,Bagalkot,6,20,1,0,0,2,10,13,0,12,9,2,0,27,69,10,11,20,2,14,3,0
23,Vijayapur,6,21,1,0,1,1,3,23,0,20,39,13,0,43,51,14,9,104,0,29,1,2
24,Dharwad,2,3,0,0,1,0,2,4,0,15,11,4,1,11,21,10,2,15,2,7,2,2
25,Gadag,3,3,1,0,0,6,2,17,0,4,13,1,0,19,13,5,7,25,1,13,5,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,4,9,2,0,0,1,9,28,0,9,32,5,1,28,55,13,10,38,0,5,6,5
27,Bidar,4,5,0,0,0,1,11,34,0,7,69,10,1,28,53,6,4,36,2,1,1,0
28,Yadgir,4,4,1,0,0,1,3,40,0,11,21,6,0,8,18,15,10,40,1,5,38,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,1,6,0,0,1,3,9,27,0,10,93,6,1,45,185,21,8,35,0,6,9,5
30,Mandya,2,9,1,0,1,2,10,24,0,3,66,5,0,52,206,28,10,81,4,7,2,2
31,Chamarajanagar,1,0,0,0,1,1,5,6,0,2,27,4,0,12,55,9,2,26,2,2,2,2
32,Hassan,4,18,1,1,1,4,10,16,0,8,83,7,0,29,139,21,3,35,7,4,10,4
33,Kodagu,3,5,1,0,0,3,4,6,0,0,35,1,0,6,39,2,3,9,0,3,1,3
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,4,5,1,0,1,0,5,45,0,6,17,9,0,15,33,10,5,32,0,8,5,1
35,Koppal,2,3,1,1,0,2,4,14,0,6,20,5,0,17,35,11,3,49,0,4,7,2
36,Raichur,3,14,4,0,0,3,7,83,0,18,22,9,1,27,31,8,5,86,4,4,2,1
37,Vijayanagara,2,3,0,0,1,2,2,30,0,9,14,6,0,24,34,12,6,116,1,4,4,1
38,Karnataka Railways,0,2,0,0,0,0,0,33,1,0,4,0,0,0,3,0,0,0,0,0,0,0
,Total,104,378,48,18,64,78,267,1673,40,332,1784,227,18,971,2826,581,225,1865,149,1013,276,92
