MAJOR HEADS FOR THE YEAR 2026 (UPTO MARCH),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,49,162,35,9,79,40,162,1997,106,12,1005,121,12,280,1239,322,55,148,229,2255,122,50
2,Mysuru City,1,6,2,0,2,1,18,71,0,0,94,4,1,31,209,21,3,8,31,51,9,3
3,Hubballi Dharwad City,4,53,2,0,3,5,14,38,3,7,42,19,1,30,70,16,10,88,0,48,7,7
4,Mangaluru City,3,11,4,1,1,2,8,51,0,0,46,8,0,51,222,14,6,29,1,27,3,9
5,Belagavi City,3,18,1,0,1,2,29,49,2,12,54,19,0,50,87,6,2,57,2,30,5,2
6,Kalaburagi City,3,5,1,1,4,2,21,42,0,9,45,8,0,34,126,9,5,90,3,15,5,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,16,15,2,3,10,7,42,172,0,15,163,29,3,136,326,33,21,19,6,64,11,19
8,Bengaluru South,5,25,2,0,4,6,35,91,0,9,105,7,2,118,260,46,13,63,7,61,19,7
9,Tumakuru,12,34,4,1,10,13,38,154,0,14,208,18,1,177,454,120,44,210,18,46,33,10
10,Kolar,9,13,2,1,3,2,12,52,0,32,72,9,2,83,138,25,9,42,5,13,17,3
11,Chickballapura,8,11,2,0,1,5,19,43,0,35,116,7,1,86,141,29,15,192,3,57,54,9
12,K.G.F,1,2,0,1,0,9,9,19,1,1,37,1,0,15,44,2,0,14,1,17,8,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,8,20,5,1,1,2,13,83,3,67,155,19,0,101,261,98,13,412,6,24,21,14
14,Davanagere,5,28,4,0,3,2,22,119,0,63,85,22,1,70,212,43,19,142,5,18,17,3
15,Shivamogga,6,64,6,2,8,10,23,143,0,43,278,22,1,91,246,66,48,99,27,38,39,10
16,Haveri,2,25,5,2,3,0,25,108,0,55,63,5,2,80,138,23,15,117,9,32,29,5
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,4,11,3,0,2,1,15,56,0,16,55,5,0,30,194,11,7,21,1,31,12,5
18,Udupi,2,14,2,0,0,5,9,47,0,4,33,7,0,66,210,17,16,26,1,45,9,5
19,Chikkamagaluru,6,21,3,1,7,8,16,46,0,13,163,14,1,52,170,38,22,52,2,30,22,12
20,Uttara Kannada,8,24,1,2,4,9,19,39,0,15,92,12,0,59,170,41,15,144,0,20,14,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,14,51,9,5,6,10,54,213,0,129,270,61,0,199,378,108,45,167,12,38,47,19
22,Bagalkot,14,43,2,1,2,11,27,47,0,25,28,8,0,106,168,25,16,91,4,23,17,3
23,Vijayapur,15,32,3,0,4,12,20,79,1,47,109,33,0,120,146,32,21,162,1,88,13,5
24,Dharwad,6,9,1,0,1,4,7,22,0,24,29,5,1,57,71,15,15,40,2,19,5,3
25,Gadag,5,4,2,0,0,8,9,35,0,22,27,7,0,54,47,12,15,91,5,27,12,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,7,24,4,0,2,5,31,90,0,30,100,9,1,72,163,33,21,94,5,10,19,11
27,Bidar,6,17,0,0,2,3,28,75,0,20,152,32,1,77,155,16,9,131,7,5,6,4
28,Yadgir,7,13,1,0,0,4,13,94,0,32,46,14,0,31,53,28,16,115,3,9,87,9
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,7,17,2,1,5,7,36,96,0,32,222,16,1,132,519,55,28,99,0,22,35,12
30,Mandya,7,27,4,0,1,11,37,78,0,9,191,12,0,134,593,74,27,150,9,28,12,13
31,Chamarajanagar,3,13,2,1,1,4,10,25,0,10,74,5,1,47,160,36,8,49,5,4,6,7
32,Hassan,11,39,4,1,1,20,32,65,0,9,216,16,2,100,386,67,17,82,14,19,34,8
33,Kodagu,5,14,2,0,1,4,8,29,0,1,90,7,0,20,94,8,9,15,0,25,15,8
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,5,21,1,0,5,7,15,144,0,20,52,31,0,44,85,24,17,120,3,27,11,5
35,Koppal,3,11,4,2,0,6,13,45,3,11,41,14,0,59,103,34,15,165,0,10,17,6
36,Raichur,7,27,8,1,1,5,22,273,0,45,46,28,1,73,92,37,36,300,15,10,14,4
37,Vijayanagara,5,23,2,0,2,3,7,56,0,29,36,22,0,59,107,24,11,211,2,13,16,6
,Karnataka Railways,0,2,0,0,1,0,0,84,2,0,4,0,0,0,3,0,1,0,0,1,1,0
,Total,282,949,137,37,181,255,918,4970,121,917,4644,676,36,3024,8240,1608,665,4055,444,3300,823,302
