"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 31/03/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Crime (IT ACT),22483,332,76,22075,0,27,93,2362,1188,3869,14501,30,5,14908,184,47,14677,0,10,14,791,810,8423,4615,13,1,3301,2,3,3296,0,0,0,11,18,3260,6,1,
Arms Act,280,10,2,268,0,5,9,0,232,13,4,3,2,406,7,4,395,0,1,0,0,266,121,7,0,0,119,0,0,119,0,0,0,0,11,108,0,0,
Cow Slaughter,240,8,3,229,0,11,3,1,191,3,19,1,0,214,2,2,210,0,6,0,0,163,37,4,0,0,46,0,0,46,0,0,0,0,6,40,0,0,
Animal Sacrifice Act,327,14,2,311,0,50,4,0,227,5,23,1,1,422,12,2,408,0,34,1,1,276,75,21,0,0,145,0,0,145,0,1,0,0,13,131,0,0,
P.I.T Act,298,1,1,296,0,3,5,0,281,6,1,0,0,316,6,0,310,0,1,0,0,223,82,0,3,1,58,0,0,58,0,0,0,0,9,49,0,0,
POCSO,4088,65,205,3818,0,84,1290,3,2352,7,19,35,28,4676,74,154,4448,0,24,410,1,3853,117,11,11,21,1126,6,14,1106,0,0,0,0,199,907,0,0,
K.P Act,517,48,0,469,0,227,13,3,213,1,4,7,1,518,9,0,509,0,155,6,2,293,34,13,4,2,145,0,0,145,0,7,0,0,50,88,0,0,
E.C Act,432,10,0,422,0,5,6,0,375,17,1,18,0,777,10,0,767,0,4,0,0,441,303,14,5,0,249,0,0,249,0,0,0,0,9,239,1,0,
SC/ST/Act,2114,343,43,1728,0,13,185,2,1420,60,2,38,8,2411,207,22,2182,1,6,42,0,1479,640,0,15,0,665,0,5,660,0,0,0,0,19,641,0,0,
Explosive Act,142,1,0,141,0,39,1,2,81,8,5,2,3,141,1,0,140,0,7,0,0,75,49,9,0,0,34,0,0,34,0,0,0,0,0,34,0,0,
N.D.P.S AcT,4189,11,4,4174,0,2020,31,12,2050,16,23,11,11,6827,60,1,6766,0,2261,5,14,4064,380,36,2,4,3396,18,0,3378,0,391,1,3,1573,1408,2,0,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,4,2,0,2,0,0,0,0,1,1,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
R.P.Act,133,21,0,112,0,29,0,2,49,9,15,8,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Children Act,403,56,19,328,0,37,8,4,251,19,5,4,0,432,40,18,374,0,12,2,0,274,80,2,4,0,93,0,0,93,0,0,0,0,9,84,0,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Gambling Act,12881,0,2,12879,0,8520,135,183,3933,15,1,71,21,14742,4,1,14737,0,7165,62,39,7152,268,0,46,5,4056,0,0,4056,0,325,0,0,1628,2103,0,0,
Excise Act,8285,2,0,8283,0,3978,346,83,3775,3,14,29,55,10089,2,0,10087,0,4855,69,43,4859,196,13,38,14,3103,0,0,3103,0,327,0,3,1241,1532,0,0,
D.P Act,1999,202,49,1748,0,4,153,15,1396,116,1,61,2,2110,112,22,1976,0,0,31,1,1526,394,1,21,2,444,2,2,440,0,0,0,0,39,401,0,0,
Other Special and Local Laws,3419,107,9,3303,0,1652,38,67,1278,98,126,40,4,5596,43,13,5540,0,2525,16,94,2247,573,69,16,0,1198,1,2,1195,0,126,0,0,438,630,1,0,
Sub Total - PART-III,61749,1193,395,60161,0,16702,2284,2736,19014,4208,14725,353,139,64080,737,277,63066,1,17061,650,982,27766,11581,4799,177,50,18039,28,23,17988,0,1177,1,17,5259,11523,10,1,
PART-IV (Cr.PC/BNSS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 Cr.P.C/ 126 BNSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
