Aadhaar e-sign details of chargesheet for the Month of March 2026.,,,,
Sl.No,Unit_Name,"Chargesheet
Registered",Chargesheet eSign,Percentage
1,Koppal District,162,148,91.36
2,Dakshina Kannada District,86,68,79.07
3,Vijayanagara District,264,176,66.67
4,Chikkamagaluru District,169,110,65.09
5,Mangalore COP,111,67,60.36
6,Dharwad District,33,19,57.58
7,Vijayapur District,218,125,57.34
8,Bengaluru South District,163,88,53.99
9,Udupi District,187,84,44.92
10,Mandya District,363,158,43.53
11,SP Railways,7,3,42.86
12,K.G.F District,36,15,41.67
13,Uttara Kannada District,141,57,40.43
14,Kalaburagi City,121,36,29.75
15,Yadgir District,71,21,29.58
16,Mysuru City,124,30,24.19
17,Tumakuru District,294,61,20.75
18,Hubballi Dharwad City,92,18,19.57
19,Kalaburagi District,42,8,19.05
20,Bengaluru City,1963,323,16.45
21,Raichur District,140,22,15.71
22,Ballari District,52,8,15.38
23,Chitradurga District,99,15,15.15
24,Belagavi District,307,34,11.07
25,Gadag District,89,9,10.11
26,Bagalkot District,12,1,8.33
27,Belagavi City,48,4,8.33
28,Hassan District,175,14,8.00
29,Davanagere District,109,4,3.67
30,Shivamogga District,200,6,3.00
31,Chickballapura District,241,4,1.66
32,Bengaluru District,281,1,0.36
33,Bidar District,60,0,0.00
34,Chamarajanagar District,311,0,0.00
35,Haveri District,57,0,0.00
36,Kodagu District,134,0,0.00
37,Kolar District,117,0,0.00
38,Mysuru District,333,0,0.00
Total,,7420,1737,23.41
