"Comparitive Crime Statement 17 for the Years 2021, 2022, and 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023 As on 31/10/2023,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,"Dis/
ACQ",Com,PT,UI,Un,OD,AB
PART-III (SLL Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arms Act,366,5,1,360,0,6,16,0,319,8,8,2,1,272,8,1,263,0,3,2,0,217,37,3,1,0,250,5,2,243,0,1,0,0,102,139,1,0,
Cow Slaughter,541,5,1,535,0,24,11,0,479,4,14,1,2,406,3,1,402,0,5,0,1,342,38,14,2,0,233,3,1,229,0,1,0,0,125,101,1,1,
Animal Sacrifice Act,311,11,4,296,0,26,4,2,237,3,19,3,2,462,20,2,440,0,15,2,1,351,45,25,1,0,304,7,1,296,0,11,0,0,143,137,5,0,
P.I.T Act,232,2,0,230,0,1,5,0,223,0,1,0,0,240,3,0,237,0,3,0,0,218,15,1,0,0,240,1,1,238,0,0,0,0,96,142,0,0,
POCSO,2879,38,88,2753,0,118,948,4,1640,6,7,11,19,3187,55,96,3036,0,52,568,4,2353,17,10,17,15,3007,25,124,2858,0,1,81,0,2076,688,2,7,
K.P Act,336,5,0,331,0,140,5,0,179,1,1,4,1,460,5,1,454,0,149,5,2,276,5,4,11,2,1001,161,1,839,0,122,1,2,507,197,2,7,
E.C Act,472,18,2,452,0,1,14,0,399,24,0,12,2,815,14,2,799,0,5,1,0,632,135,6,19,1,390,1,1,388,0,1,0,0,123,256,0,8,
SC/ST/Act,1751,304,48,1399,2,7,212,3,1131,27,5,10,4,2134,384,122,1628,1,5,114,2,1415,71,4,14,3,1781,207,35,1539,0,1,2,0,954,569,5,7,
Explosive Act,183,19,0,164,0,18,2,1,112,7,20,3,1,62,3,1,58,0,7,0,0,30,13,7,1,0,229,1,0,228,0,1,0,0,4,221,2,0,
N.D.P.S AcT,5789,5,0,5784,0,1821,53,10,3868,8,5,4,15,6406,12,3,6391,0,1975,29,8,4268,88,11,8,4,5938,6,1,5931,0,1118,7,7,3726,1069,2,1,
TADA Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCR Act,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,3,0,0,0,0,13,0,0,13,0,0,0,0,2,11,0,0,
R.P.Act,37,6,2,29,0,4,0,0,18,2,5,0,0,6,2,0,4,0,0,0,0,2,2,0,0,0,333,23,6,304,0,21,0,2,151,113,16,1,
Children Act,401,46,25,330,0,16,17,1,284,8,1,3,0,354,33,14,307,0,18,5,1,248,31,1,3,0,313,30,10,273,0,4,0,0,98,167,4,0,
Sati Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cinema Autography Act,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gambling Act,14082,2,2,14078,0,8461,194,83,5228,15,6,76,15,13044,1,0,13043,0,6267,103,67,6504,49,0,44,9,11037,3,1,11033,0,2713,25,32,6463,1790,0,10,
Excise Act,7523,1,0,7522,0,3100,385,91,3865,9,6,22,44,8865,0,0,8865,0,3821,237,72,4635,22,2,49,27,8453,2,1,8450,0,1620,31,32,5176,1547,24,15,
D.P Act,1885,136,83,1666,0,1,176,20,1408,33,1,26,1,2237,186,53,1998,0,0,67,12,1689,195,0,33,2,1869,46,35,1788,0,0,3,0,563,1217,0,5,
