Aadhaar e-Sign details of Chargesheet for the Month of October 2023,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Bagalkot District,263,73,27.76
2,Ballari District,321,158,49.22
3,Belagavi City,97,19,19.59
4,Belagavi District,279,86,30.82
5,Bengaluru City,2704,124,4.59
6,Bengaluru District,469,0,0.00
7,Bidar District,306,3,0.98
8,Chamarajanagar District,137,62,45.26
9,Chickballapura District,262,4,1.53
10,Chikkamagaluru District,352,1,0.28
11,Chitradurga District,341,0,0.00
12,Dakshina Kannada District,108,28,25.93
13,Davanagere District,275,4,1.45
14,Dharwad District,154,94,61.04
15,Gadag District,116,17,14.66
16,Hassan District,380,28,7.37
17,Haveri District,145,12,8.28
18,Hubballi Dharwad City,188,118,62.77
19,K.G.F District,83,0,0.00
20,Kalaburagi City,136,3,2.21
21,Kalaburagi District,196,2,1.02
22,KODAGU(Madikeri) District,127,19,14.96
23,Kolar District,156,0,0.00
24,Koppal District,171,49,28.65
25,Mandya District,396,1,0.25
26,Mangalore COP,117,85,72.65
27,Mysuru City,176,7,3.98
28,Mysuru District,423,9,2.13
29,Raichur District,259,0,0.00
30,Ramanagara District,395,0,0.00
31,Shivamogga District,266,6,2.26
32,SP Railways,15,0,0.00
33,Tumakuru District,561,20,3.57
34,Udupi District,201,114,56.72
35,Uttara Kannada District,262,86,32.82
36,Vijayanagara District,293,0,0.00
37,Vijayapur District,256,50,19.53
38,Yadgir District,167,0,0.00
Total,,11553,1282,11.10
