MAJOR HEADS FOR THE YEAR 2023 (UPTO NOVEMBER),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,193,501,158,90,745,242,822,9727,137,3295,633,24,72,326,1040,210,596,896,15979,519,368
2,Mysuru City,29,46,14,2,46,14,80,411,2,275,36,2,23,70,64,19,46,162,214,60,33
3,Hubballi Dharwad City,20,39,5,7,20,15,77,231,31,162,97,0,9,31,42,32,487,2,434,40,19
4,Mangaluru City,15,45,16,2,14,15,43,190,12,133,27,1,13,78,66,30,141,33,229,47,23
5,Belagavi City,17,37,6,5,20,24,120,249,65,138,67,0,19,32,39,15,121,5,79,17,12
6,Kalaburagi City,24,45,11,9,59,27,116,434,56,227,76,6,15,42,45,35,270,55,30,24,15
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,59,102,22,21,90,71,263,1470,113,592,157,15,42,151,187,92,168,31,687,111,55
8,Ramanagara,28,72,12,22,37,38,122,463,54,557,45,2,28,92,218,63,172,40,149,108,93
9,Tumakuru,47,107,18,7,74,58,189,712,53,762,71,5,60,157,289,79,488,109,232,156,100
10,Kolar,38,66,8,6,27,13,47,344,136,359,23,6,20,50,74,53,117,17,61,66,58
11,Chickballapura,20,38,9,3,26,24,97,261,139,431,27,7,25,59,102,43,255,19,229,148,129
12,K.G.F,9,25,4,1,5,12,40,85,18,187,17,2,6,12,32,21,34,23,114,33,28
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,29,72,10,2,30,18,111,396,233,561,97,6,23,123,315,47,536,50,48,117,76
14,Davanagere,19,107,14,11,64,20,191,669,133,333,65,8,16,57,211,81,467,78,78,98,65
15,Shivamogga,34,124,10,17,36,12,136,369,178,719,75,3,27,69,302,88,389,105,42,181,142
16,Haveri,10,68,17,9,13,18,143,374,225,280,32,2,23,44,80,38,421,25,100,81,68
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,9,26,10,1,18,17,69,92,40,159,25,0,6,61,48,43,27,7,48,83,45
18,Udupi,12,23,11,2,21,17,72,149,26,170,32,0,26,86,59,37,180,10,119,49,37
19,Chikkamagaluru,29,44,6,3,10,28,90,268,71,518,58,0,27,68,189,80,207,13,84,97,64
20,Uttara Kannada,12,47,15,2,20,12,55,179,57,301,47,2,20,77,158,30,452,12,71,58,37
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,69,125,20,9,28,34,148,505,243,388,105,4,54,128,262,83,797,9,79,101,84
22,Bagalkot,33,82,8,12,15,36,100,257,99,152,17,4,36,47,172,41,406,20,44,53,41
23,Vijayapur,50,92,19,9,7,23,94,335,127,339,111,7,28,56,151,66,596,5,83,90,73
24,Dharwad,15,34,5,0,7,10,52,132,48,117,23,7,18,12,34,33,226,1,38,37,31
25,Gadag,13,29,7,0,10,6,51,183,98,99,30,3,19,13,69,36,394,2,52,43,37
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,52,51,9,2,9,21,72,334,162,311,72,1,23,48,90,36,430,29,24,46,41
27,Bidar,34,59,3,5,29,24,150,331,127,502,98,3,24,64,56,41,613,13,34,47,31
28,Yadgir,13,27,6,3,4,8,29,208,99,175,37,0,12,28,89,28,363,8,13,33,32
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,28,54,13,4,38,29,198,370,130,825,64,6,21,109,262,59,171,9,36,138,93
30,Mandya,39,82,4,6,53,35,116,465,47,727,79,3,34,134,290,67,304,29,45,110,62
31,Chamarajanagar,18,39,2,2,18,12,63,125,77,352,24,4,22,48,163,42,124,16,39,71,46
32,Hassan,33,119,14,7,51,43,132,441,78,834,70,7,44,149,256,76,139,86,100,146,101
33,Kodagu,26,39,6,2,6,27,51,79,4,306,23,0,10,50,48,33,39,9,95,57,45
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,16,51,10,2,13,22,72,386,73,169,97,2,16,25,55,27,646,26,70,43,20
35,Koppal,22,31,16,0,14,21,68,259,70,127,68,3,26,32,59,29,442,1,17,50,42
36,Raichur,38,57,18,2,4,17,59,513,211,224,101,3,14,31,180,76,789,50,27,70,56
37,Vijayanagara,16,60,13,1,3,9,53,263,81,151,58,1,20,22,96,38,596,24,12,107,70
,Karnataka Railways,8,5,1,1,29,0,3,719,1,21,0,0,0,1,6,0,0,,1,4,3
,Total,1176,2670,550,289,1713,1072,4394,22978,3554,15978,2784,149,921,2682,5898,1947,12649,2029,6966,3339,2375
