"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of April-2026",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3274,2,44,20,17,490350
2,Mysuru City,392,0,0,0,0,41300
3,Hubli-Dharwad City,575,0,0,0,0,56000
4,Mangaluru City,195,0,0,0,0,8230
5,Belagavi City,111,0,0,0,0,10400
6,Kalburgi City,105,0,0,0,0,20500
II,Central Range,,,,,,
1,Bengaluru Dist.,292,0,0,0,0,23650
2,K.G.F.,197,0,0,0,0,12550
3,Kolar,1312,0,0,0,0,78250
4,Tumakuru,1222,0,0,0,0,115400
5,Chickballapura,1291,0,0,0,0,148900
6,Ramanagara,332,0,0,0,0,58400
III,Eastern Range,,,,,,
1,Chitradurga,1428,0,0,0,0,112830
2,Davanagere,1097,0,0,0,0,105150
3,Shivamogga,4160,0,0,0,0,82600
4,Haveri,1247,0,0,0,0,116150
IV,Western Range,,,,,,
1,Chickmagalur,249,0,0,0,0,30900
2,D.K.,313,0,0,0,0,11230
3,Udupi,631,0,0,0,0,71200
4,U.K.,689,0,0,0,0,75900
V,Northern Range,,,,,,
1,Bagalakote,0,0,0,0,11,0
2,Belagavi dist.,15,0,0,0,0,1500
3,Vijayapura,89,0,0,0,0,8900
4,Dharwad,20,0,0,0,0,3200
5,Gadag,660,0,0,0,0,63400
VI,North Eastern Range,,,,,,
1,Bidar,5,0,0,0,0,1000
2,Kaburgi,78,0,0,0,0,11400
3,Yadgiri,35,0,0,0,0,3500
VII,Southern Range,,,,,,
1,Chamarajanagar,4627,0,0,0,0,235900
2,Hassan,600,0,0,0,0,44160
3,Kodagu,103,0,0,0,0,26300
4,Mandya,874,0,0,0,0,65350
5,Mysuru Dist.,222,0,0,0,0,22200
VIII,Ballari Range,,,,,,
1,Ballari,155,0,0,0,0,15400
2,Vijayanagara,280,0,0,0,0,27500
3,Koppal,441,0,0,0,0,44600
4,Raichur,143,0,0,0,0,52900
IX,Karnataka Railways,444,0,0,0,0,52100
Total,,27903,2,44,20,28,2349200
