Aadhaar e-Sign details of Chargesheet for the Month of February 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,SP Railways,2,2,100.00
2,Koppal District,17,16,94.12
3,Dharwad District,27,25,92.59
4,Gadag District,38,35,92.11
5,Mysuru City,89,78,87.64
6,Chikkamagaluru District,153,131,85.62
7,Mangalore COP,116,86,74.14
8,Yadgir District,54,39,72.22
9,Kalaburagi City,52,35,67.31
10,Tumakuru District,324,202,62.35
11,Bagalkot District,16,9,56.25
12,Ballari District,87,48,55.17
13,Chitradurga District,46,25,54.35
14,Vijayapur District,67,34,50.75
15,Dakshina Kannada District,58,28,48.28
16,Raichur District,94,41,43.62
17,Kalaburagi District,67,29,43.28
18,Mandya District,249,106,42.57
19,Chamarajanagar District,63,26,41.27
20,Udupi District,76,30,39.47
21,Uttara Kannada District,50,19,38.00
22,Haveri District,32,12,37.50
23,Belagavi District,134,47,35.07
24,Davanagere District,154,53,34.42
25,Bengaluru District,160,52,32.50
26,Hassan District,269,84,31.23
27,Hubballi Dharwad City,56,16,28.57
28,Ramanagara District,124,35,28.23
29,Kolar District,99,25,25.25
30,K.G.F District,39,6,15.38
31,KODAGU(Madikeri) District,43,6,13.95
32,Bengaluru City,1132,151,13.34
33,Vijayanagara District,54,6,11.11
34,Shivamogga District,151,8,5.30
35,Mysuru District,98,3,3.06
36,Chickballapura District,144,2,1.39
37,Bidar District,88,1,1.14
38,Belagavi City,44,0,0.00
Total,,4566,1551,33.97
