"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
FEBRUARY- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3498,1,13,60,24,509600
2,Mysuru City,971,0,0,0,0,100550
3,Hubli-Dharwad City,80,0,0,0,0,12550
4,Mangaluru City,224,0,0,0,0,8390
5,Belagavi City,185,0,0,0,0,14700
6,Kalburgi City,7,0,0,0,0,1400
II,Central Range,,,,,,
1,Bengaluru Dist.,366,0,0,0,0,33100
2,K.G.F.,37,0,0,0,0,2100
3,Kolar,294,0,0,0,0,25400
4,Tumakuru,2471,0,0,0,0,280250
5,Chickballapura,257,0,0,0,0,25650
6,Ramanagara,1272,0,0,0,0,143800
III,Eastern Range,,,,,,
1,Chitradurga,234,0,0,0,0,20300
2,Davanagere,2440,0,0,0,0,236101
3,Shivamogga,965,0,0,0,0,74710
4,Haveri,435,0,0,0,0,36600
IV,Western Range,,,,,,
1,Chickmagalur,191,0,0,0,0,19650
2,D.K.,619,0,0,0,0,36380
3,Udupi,399,0,0,0,0,34950
4,U.K.,309,0,0,0,0,32500
V,Northern Range,,,,,,
1,Bagalakote,0,0,0,0,5,0
2,Belagavi dist.,19,0,0,0,0,1900
3,Vijayapura,349,0,0,0,0,32700
4,Dharwad,10,0,0,0,0,1000
5,Gadag,580,0,0,0,0,55200
VI,North Eastern Range,,,,,,
1,Bidar,51,0,0,0,0,5100
2,Kaburgi,100,0,0,0,0,17200
3,Yadgiri,226,0,0,0,0,22600
VII,Southern Range,,,,,,
1,Chamarajanagar,189,0,0,0,0,10150
2,Hassan,717,0,0,0,0,53850
3,Kodagu,84,0,0,0,0,5350
4,Mandya,199,0,0,0,0,17200
5,Mysuru Dist.,116,0,0,0,0,12550
VIII,Ballari Range,,,,,,
1,Ballari,239,0,0,0,0,20100
2,Vijayanagara,250,0,0,0,0,21250
3,Koppal,58,0,0,0,0,4800
4,Raichur,1007,0,0,0,0,105150
IX,Karnataka Railways,32,0,0,0,0,4100
Total,,19480,1,13,60,29,2038881
