Sl.NO,Service Name,Received,Disposed,Pending
1,Job / Service Verification,31984,21647,10337
2,"Police Verification Certificate(PVC) for Central/State Govt employees if
request is received directly by the employee / By Concerned Department",869,571,298
3,"Police Clearance Certificate for going abroad (Visa for studies)/ Police
Clearance Certificate for Foreign Nationals",212,144,68
4,"Police verification Certificate for Coolies/Loader/Class IV Security Staff/
Supervisor at Airport (Individual applicants only)",7725,4862,2863
5,Police Verification Certificate for domestic servants/house keeping,0,0,0
6,Police Verification Certificate for Institutions/ Companies,70,27,43
7,Police verification Certificate for Marriage Alliances,31,16,15
8,"Police verification Certificate for Training Apprenticeship at Public
Undertakings /for trainees/ Workers working on daily wages at Govt.
Institutions",4236,2526,1710
9,Amplified Sound System,631,528,103
10,"Missing Report of documents, Mobile phone etc",451,85,366
11,Disposal of petitions,39,3,36
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,111,0,111
14,Complaint Registration,0,0,0
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,0,0,0
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha sale and transport",0,0,0
Total,,46359,30409,15950
