MAJOR HEADS FOR THE YEAR 2025 (UPTO APRIL),,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING",DP ACT,"CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,65,140,101,6,72,72,171,2641,174,24,1183,171,12,287,1240,301,73,238,249,3580,114,57
2,Mysuru City,9,16,4,0,4,2,18,83,0,6,98,5,1,50,264,18,6,22,33,51,13,6
3,Hubballi Dharwad City,3,72,6,4,4,3,21,44,2,4,29,16,2,33,92,19,19,160,,61,9,10
4,Mangaluru City,1,16,8,2,1,2,9,80,0,6,55,6,1,60,312,17,13,64,12,27,15,9
5,Belagavi City,8,25,7,1,5,12,27,72,5,17,51,31,0,48,131,13,11,59,,34,8,3
6,Kalaburagi City,7,20,7,1,4,8,36,101,0,15,80,29,0,39,128,14,14,80,13,24,5,7
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,29,39,10,2,9,13,64,501,5,33,216,47,1,210,636,95,22,78,8,172,26,14
8,Ramanagara,14,28,12,2,8,11,29,166,0,8,131,11,5,137,391,59,18,69,23,64,24,3
9,Tumakuru,9,35,7,3,11,10,55,212,2,11,257,21,1,246,618,104,26,369,23,76,42,15
10,Kolar,9,24,5,1,4,7,24,62,0,44,101,10,1,85,169,43,9,42,3,15,23,7
11,Chickballapura,10,17,4,0,1,9,37,79,0,46,133,19,1,111,198,38,19,239,2,61,64,7
12,K.G.F,4,8,3,0,0,1,15,25,2,5,46,4,0,26,59,5,3,13,7,20,7,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,11,28,8,0,3,3,19,116,2,65,221,50,2,134,393,120,15,335,10,19,37,12
14,Davanagere,8,29,7,5,5,11,63,145,2,77,133,37,1,84,256,75,24,201,17,43,16,7
15,Shivamogga,7,67,6,3,9,20,42,191,0,50,285,20,1,133,381,101,48,135,27,37,41,22
16,Haveri,10,28,8,0,3,6,51,171,0,67,71,13,1,86,201,24,22,197,11,31,38,8
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,8,1,1,1,7,11,34,0,7,49,10,0,52,249,14,4,9,2,30,15,12
18,Udupi,1,20,6,0,1,1,17,125,1,15,70,15,0,94,312,16,24,25,,39,12,6
19,Chikkamagaluru,11,19,4,0,1,3,26,77,0,21,185,17,2,57,229,59,24,54,4,20,39,8
20,Uttara Kannada,5,15,6,2,1,4,19,67,0,19,118,11,0,86,251,69,10,152,4,26,20,7
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,25,45,8,2,5,7,48,123,1,85,146,29,1,251,456,72,40,254,2,22,39,19
22,Bagalkot,12,43,3,1,3,8,19,76,0,30,50,17,1,145,174,25,21,212,4,15,22,1
23,Vijayapur,21,41,5,1,5,4,25,111,2,57,130,40,0,128,210,38,36,159,2,140,32,12
24,Dharwad,12,11,,1,1,6,11,33,0,13,23,10,2,80,100,9,11,59,,14,8,4
25,Gadag,2,6,3,0,2,8,13,52,1,18,23,5,1,62,56,10,14,154,3,22,17,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,13,26,11,0,3,9,46,114,1,45,134,34,0,97,210,37,18,146,8,14,34,11
27,Bidar,16,28,5,0,2,14,33,96,2,45,217,48,1,116,242,17,20,237,3,5,12,6
28,Yadgir,8,20,8,1,0,4,19,72,0,42,60,17,0,60,95,37,27,203,5,14,27,5
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,18,29,1,1,7,9,53,130,0,56,277,22,1,183,633,90,11,66,12,17,43,18
30,Mandya,11,40,5,1,3,11,33,118,1,4,218,20,0,146,574,104,15,120,14,25,36,15
31,Chamarajanagar,8,14,7,1,1,6,28,54,0,19,130,14,1,66,206,65,16,61,10,6,17,12
32,Hassan,10,63,6,1,3,9,48,139,1,11,304,32,2,173,572,66,38,82,19,30,34,11
33,Kodagu,7,22,6,0,0,6,14,43,0,2,95,10,0,24,164,14,10,18,,33,26,15
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,10,24,5,1,2,7,13,89,0,35,62,27,1,68,108,16,9,313,2,28,12,17
35,Koppal,3,17,6,0,3,10,21,82,0,33,53,24,1,96,151,35,16,230,,5,10,8
36,Raichur,16,47,13,2,0,12,27,267,0,52,93,30,0,95,139,53,35,247,17,4,19,2
37,Vijayanagara,5,34,5,0,2,4,28,90,0,39,80,24,1,88,114,48,5,134,3,19,23,9
38,Karnataka Railways,7,1,,1,3,0,0,187,3,0,5,0,0,0,0,0,0,,,3,0,0
,Total,426,1165,317,47,192,339,1233,6868,207,1126,5612,946,45,3936,10714,1940,746,5236,552,4846,979,390
