"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - April - 2025,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for April 2025 as on 30.04.2025 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.04.2025"
1,Bengaluru City,27363,24100,26
2,Belagavi City,2314,2350,36
3,Hubli-Dharwad City,784,724,223
4,Mysore City,3201,2890,4
5,Mangalore City,3839,3139,61
6,Bagalkot,1277,1393,4
7,Ballari,1433,1286,33
8,Belagavi,1418,1220,20
9,Bengaluru Rural,2719,1996,104
10,Bidar,1128,970,43
11,Chamarajanagar,1459,1318,4
12,Chikkaballapura,1608,1467,4
13,Chikkamagaluru,1742,1557,0
14,Chitradurga,1699,1423,84
15,Dakshina Kannada,749,689,3
16,Davanagere,1903,1736,3
17,Dharwad,1037,989,80
18,Gadag,542,478,2
19,Hassan,2564,2075,4
20,Haveri,1142,920,38
21,Kalaburagi,1262,1160,3
22,Kodagu,985,958,23
23,Kolar,1074,1243,0
24,KGF,682,886,1
25,Koppal,777,731,1
26,Mandya,2280,2322,44
27,Mysuru,2679,2018,8
28,Raichur,1033,1008,14
29,Ramanagara,2074,2053,44
30,Shivamogga,2409,2398,44
31,Tumakuru,2939,2624,3
32,Udupi,1941,2034,2
33,Uttara Kannada,2133,2181,9
34,VijayaNagara,1040,949,14
35,Vijayapura,1761,1848,7
36,Yadgir,509,438,58
,Total,85499,77571,1051
