2026-07-08 15:05:55,247 - PDF name: crime 1.pdf | Page number: 2 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,325 - PDF name: crime 1.pdf | Page number: 3 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,373 - PDF name: crime 1.pdf | Page number: 4 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:05:55,422 - PDF name: crime 1.pdf | Page number: 5 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,464 - PDF name: crime 1.pdf | Page number: 6 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,497 - PDF name: crime 1.pdf | Page number: 7 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,529 - PDF name: crime 1.pdf | Page number: 8 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,560 - PDF name: crime 1.pdf | Page number: 9 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,590 - PDF name: crime 1.pdf | Page number: 10 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,680 - PDF name: crime 1.pdf | Page number: 11 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,713 - PDF name: crime 1.pdf | Page number: 12 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,751 - PDF name: crime 1.pdf | Page number: 13 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,818 - PDF name: crime 1.pdf | Page number: 14 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,880 - PDF name: crime 1.pdf | Page number: 15 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,914 - PDF name: crime 1.pdf | Page number: 16 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:55,969 - PDF name: crime 1.pdf | Page number: 17 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,002 - PDF name: crime 1.pdf | Page number: 18 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,040 - PDF name: crime 1.pdf | Page number: 19 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,426 - PDF name: crime 1.pdf | Page number: 20 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,517 - PDF name: crime 1.pdf | Page number: 21 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,634 - PDF name: crime 1.pdf | Page number: 22 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,746 - PDF name: crime 1.pdf | Page number: 23 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,858 - PDF name: crime 1.pdf | Page number: 24 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:56,977 - PDF name: crime 1.pdf | Page number: 25 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,105 - PDF name: crime 1.pdf | Page number: 26 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,212 - PDF name: crime 1.pdf | Page number: 27 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,324 - PDF name: crime 1.pdf | Page number: 28 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,455 - PDF name: crime 1.pdf | Page number: 29 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,569 - PDF name: crime 1.pdf | Page number: 30 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,775 - PDF name: crime 1.pdf | Page number: 31 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,801 - PDF name: crime 1.pdf | Page number: 32 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:57,914 - PDF name: crime 1.pdf | Page number: 33 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,051 - PDF name: crime 1.pdf | Page number: 34 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,144 - PDF name: crime 1.pdf | Page number: 35 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,234 - PDF name: crime 1.pdf | Page number: 36 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,297 - PDF name: crime 1.pdf | Page number: 37 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,346 - PDF name: crime 1.pdf | Page number: 38 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,368 - PDF name: crime 1.pdf | Page number: 39 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,403 - PDF name: crime 1.pdf | Page number: 40 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,501 - PDF name: crime 1.pdf | Page number: 41 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,749 - PDF name: crime 1.pdf | Page number: 42 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:58,996 - PDF name: crime 1.pdf | Page number: 43 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:59,086 - PDF name: crime 1.pdf | Page number: 44 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:05:59,162 - PDF name: crime 1.pdf | Page number: 45 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:05:59,615 - PDF name: crime 1.pdf | Page number: 46 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,005 - PDF name: crime 1.pdf | Page number: 47 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,081 - PDF name: crime 1.pdf | Page number: 48 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:00,168 - PDF name: crime 1.pdf | Page number: 49 | Tables extracted: 1 | Success | Error message: None
