Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
January,2023,Murder,Murder for gain,2 | 1,1,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Murder,Other Murders,102 | 103,107,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Murder,Total Murder,104,108,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Dacoity,Dacoity Cases,10 | 11,12,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Robbery,Chain Snatching,55 | 54,54,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Robbery,Robbery (Except Chain Snatching),92 | 98,96,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Robbery,Total Robbery,147 | 152,150,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Burglary,Burglary Night,372 | 366,372,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Burglary,Burglary Day,74 | 73,73,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Burglary,Total,446 | 439,445,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Theft,Reported,1641 | 1646,1641,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Riots,Riots,281,279,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Hurt,Cases of Hurt,1300 | 1280,1280,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Special & Local Laws,Special & Local Laws,3817 | 3740,3776,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Crime against Women,Rape,29,30,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Crime against Women,Dowry Death,7 | 5,6,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,POCSO,POCSO,258 | 209,240,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,SC/ST POA Act,SC/ST POA Act,159 | 152,154,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Cyber Crimes,Cyber Crimes,1327 | 1325,1325,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Economic Offences,Economic Offences,552 | 558,559,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
January,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,901 | 902,901,crime_32.pdf,crime_18.pdf | crime_31.pdf,Updated in latest report
