"CASES REPORTED UNDER IPC AND SLL DURING THE MONTH
UNDER REVIEW AND THE CURRENT YEAR",,,,,
Sl.No.,DISTRICTS/UNITS,IPC CRIMES,,SLL CRIMES,
,,"During the month
under review
(May -2025)","During the current
Year Upto the month
under review","During the month
under review
(May -2025)","During the current
Year Upto the month
under review"
,Commissionerates,,,,
1,Bengaluru City,2802,13841,1878,7153
2,Mysuru City,185,902,38,212
3,Hubballi Dharwad City,151,671,60,478
4,Mangaluru City,218,923,55,547
5,Belagavi City,128,707,26,196
6,Kalaburagi City,161,759,55,440
,Central Range,,,,
1,Bengaluru Dist,525,3054,92,627
2,Ramanagara,352,1613,79,442
3,Tumakuru,401,2468,225,1293
4,Kolar,164,876,51,219
5,Chickballapura,220,1082,126,868
6,K.G.F,74,319,20,137
,Eastern Range,,,,
1,Chitradurga,355,1702,153,796
2,Davanagere,729,1406,119,662
3,Shivamogga,448,2172,205,812
4,Haveri,226,1067,102,489
,Western Range,,,,
1,Dakshina Kannada,142,699,26,128
2,Udupi,220,1092,45,235
3,Chikkamagaluru,236,1139,85,455
4,Uttara Kannada,166,1026,94,439
,Northern Range,,,,
1,Belagavi Dist,400,1905,188,792
2,Bagalkot,201,923,65,484
3,Vijayapur,292,1338,211,930
4,Dharwad,94,448,63,226
5,Gadag,85,427,97,470
,North Eastern Range,,,,
1,Kalaburagi,239,1172,60,378
2,Bidar,283,1348,104,617
3,Yadgir,142,687,67,444
,Southern Range,,,,
1,Mysuru Dist,420,2225,60,401
2,Mandya,370,1881,81,460
3,Chamarajanagar,219,917,74,403
4,Hassan,419,2100,110,566
5,Kodagu,140,731,40,259
,Ballari Range,,,,
1,Ballari,171,760,195,769
2,Koppal,152,822,99,479
3,Raichur,283,1280,125,576
4,Vijayanagara,163,842,169,506
,Karnataka Railways,72,303,8,40
,STATE,12048,57627,5350,25428
