"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - May - 2025,,,,
"Police Department has implemented 23 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for May 2025 as on 31.05.2025 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 31.05.2025"
1,Bengaluru City,36883,33739,122
2,Belagavi City,2989,2635,2
3,Hubli-Dharwad City,1668,1901,45
4,Mysore City,2558,2311,9
5,Mangalore City,4586,4137,38
6,Bagalkot,1412,1288,9
7,Ballari,1581,1668,30
8,Belagavi,1573,1563,99
9,Bengaluru Rural,2930,3242,95
10,Bidar,1334,1344,22
11,Chamarajanagar,1656,1599,0
12,Chikkaballapura,2003,1835,0
13,Chikkamagaluru,2189,1862,0
14,Chitradurga,2161,2107,49
15,Dakshina Kannada,758,730,29
16,Davanagere,2442,2297,14
17,Dharwad,1170,1078,16
18,Gadag,776,740,4
19,Hassan,2992,2876,11
20,Haveri,1396,1424,42
21,Kalaburagi,1486,1424,4
22,Kodagu,994,1005,8
23,Kolar,1326,1103,3
24,KGF,773,721,0
25,Koppal,925,911,0
26,Mandya,2733,2609,16
27,Mysuru,2729,2759,6
28,Raichur,1146,1007,13
29,Ramanagara,2819,2743,6
30,Shivamogga,3036,3059,21
31,Tumakuru,4077,3816,26
32,Udupi,2084,1927,0
33,Uttara Kannada,2442,2342,12
34,VijayaNagara,1238,1202,5
35,Vijayapura,2095,2017,4
36,Yadgir,608,639,16
,Total,105568,99660,776
