"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of April- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3693,0,9,11,10,527490
2,Mysuru City,418,0,0,0,0,46350
3,Hubli-Dharwad City,43,0,0,0,0,5900
4,Mangaluru City,112,0,0,0,0,4370
5,Belagavi City,146,0,0,0,0,11650
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,370,0,0,0,0,40850
2,K.G.F.,102,0,0,0,0,5700
3,Kolar,306,0,0,0,0,25400
4,Tumakuru,1968,0,0,0,0,197840
5,Chickballapura,533,0,0,0,0,53600
6,Ramanagara,318,0,0,0,0,45500
III,Eastern Range,,,,,,
1,Chitradurga,1803,0,0,0,0,133110
2,Davanagere,467,0,0,0,0,46150
3,Shivamogga,571,0,0,0,0,41300
4,Haveri,401,0,0,0,0,34250
IV,Western Range,,,,,,
1,Chickmagalur,469,0,0,0,0,39720
2,D.K.,303,0,0,0,0,19110
3,Udupi,432,0,0,0,0,40900
4,U.K.,305,0,0,0,0,27850
V,Northern Range,,,,,,
1,Bagalakote,37,0,0,0,9,5700
2,Belagavi dist.,95,0,0,0,0,10500
3,Vijayapura,180,0,0,0,0,17900
4,Dharwad,10,0,0,0,0,1000
5,Gadag,384,0,0,0,0,37000
VI,North Eastern Range,,,,,,
1,Bidar,71,0,0,0,0,10500
2,Kalburgi,15,0,0,0,0,2200
3,Yadgiri,169,0,0,0,0,16900
VII,Southern Range,,,,,,
1,Chamarajanagar,1168,0,0,0,0,63750
2,Hassan,673,0,0,0,0,46250
3,Kodagu,285,0,0,0,0,22000
4,Mandya,254,0,0,0,0,18650
5,Mysuru Dist.,295,0,0,0,0,29200
VIII,Ballari Range,,,,,,
1,Ballari,490,0,0,0,0,47650
2,Vijayanagara,466,0,0,0,0,35800
3,Koppal,97,0,0,0,0,9200
4,Raichur,837,0,0,0,0,74700
IX,Karnataka Railways,0,0,0,0,0,0
Total,,18286,0,9,11,19,1795940
