MAJOR HEADS FOR THE MONTH OF JUNE-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATIO
N
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,10,34,27,1,20,15,45,710,46,9,278,31,2,51,359,63,22,47,94,867,17,21
2,Mysuru City,1,3,1,0,0,1,5,18,0,1,23,1,0,9,67,10,3,6,12,12,6,0
3,Hubballi Dharwad City,1,18,1,0,0,1,2,11,0,0,3,7,1,6,30,5,4,79,0,8,1,6
4,Mangaluru City,4,6,1,0,0,0,0,27,1,2,13,5,0,10,75,4,2,3,0,21,5,5
5,Belagavi City,1,7,1,0,1,3,7,20,1,3,18,9,0,9,31,2,1,30,0,10,5,1
6,Kalaburagi City,2,6,1,1,0,0,10,14,0,12,12,6,0,9,31,4,2,52,4,3,2,1
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,3,4,1,0,2,4,9,90,1,4,45,7,0,48,140,21,5,7,6,37,3,5
8,Ramanagara,2,9,2,0,0,3,12,31,0,5,37,4,0,38,88,14,5,13,2,26,3,0
9,Tumakuru,4,13,2,0,0,1,18,60,0,6,77,6,0,39,160,27,14,81,15,28,11,2
10,Kolar,3,9,1,0,2,3,5,18,0,9,33,3,0,26,43,6,3,2,1,7,5,1
11,Chickballapura,7,4,1,0,0,2,11,21,0,10,32,8,0,22,54,13,4,28,0,16,2,1
12,K.G.F,1,2,2,0,0,1,6,9,1,3,13,2,0,4,15,2,0,5,3,16,2,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,2,7,1,0,1,3,9,22,0,15,61,13,0,29,103,37,2,37,4,7,10,1
14,Davanagere,0,10,4,0,2,4,12,33,0,18,24,15,0,22,67,26,9,46,1,9,6,4
15,Shivamogga,5,25,2,0,4,3,14,30,2,17,65,6,0,19,97,26,5,94,11,10,7,6
16,Haveri,1,7,2,1,0,2,12,42,0,22,19,1,1,22,40,5,12,36,0,10,15,2
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,3,2,0,0,0,6,13,0,3,16,3,0,7,50,7,1,2,1,11,2,2
18,Udupi,2,4,1,0,0,0,8,18,0,2,6,1,0,19,64,4,6,20,0,29,2,2
19,Chikkamagaluru,1,5,1,0,2,2,7,11,0,10,51,8,1,17,62,13,3,25,0,6,11,6
20,Uttara Kannada,0,3,2,0,1,1,6,13,0,9,30,7,0,16,39,14,3,45,1,7,5,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,6,2,0,2,1,11,34,0,27,30,11,0,39,105,19,5,91,0,8,2,7
22,Bagalkot,3,16,1,0,0,5,7,9,0,11,20,5,0,28,38,15,3,47,2,2,4,3
23,Vijayapur,9,11,2,0,1,1,8,28,0,20,51,10,0,27,49,16,7,45,0,46,1,2
24,Dharwad,0,5,0,0,0,3,5,5,0,3,12,2,0,9,29,2,2,22,0,5,1,0
25,Gadag,1,1,0,0,0,0,5,4,0,13,7,3,0,12,15,4,3,66,3,7,2,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,5,6,2,1,0,2,12,40,0,14,35,5,1,20,44,9,4,47,2,0,2,0
27,Bidar,1,9,1,0,1,7,12,28,0,17,78,13,0,26,58,4,5,17,1,5,2,0
28,Yadgir,2,4,3,0,0,1,2,5,0,11,27,8,0,16,22,15,7,28,,3,18,0
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,1,6,0,0,1,3,19,24,0,18,64,7,1,31,159,29,1,15,1,2,6,1
30,Mandya,4,8,1,1,1,3,4,32,0,1,55,6,0,29,154,16,11,33,3,3,10,6
31,Chamarajanagar,3,5,0,0,1,2,5,9,0,2,17,1,0,14,49,8,5,19,2,1,6,2
32,Hassan,3,20,1,0,1,3,10,32,0,3,78,6,0,31,137,26,7,28,6,5,6,3
33,Kodagu,0,5,0,0,0,1,3,8,0,0,21,3,0,4,31,5,0,1,1,6,4,3
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,7,3,0,0,2,1,29,0,3,17,12,0,15,29,10,5,92,1,5,3,0
35,Koppal,3,6,3,0,1,2,3,22,1,8,23,9,0,20,29,7,6,45,0,5,6,1
36,Raichur,1,21,3,1,1,1,2,39,0,25,24,12,0,25,22,23,11,54,5,1,4,2
37,Vijayanagara,1,9,0,0,0,1,2,17,0,16,21,14,0,20,32,15,2,57,2,2,7,3
,Karnataka Railways,2,1,0,1,0,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Total,99,325,78,7,45,87,315,1631,53,352,1436,270,7,788,2617,527,190,1365,184,1246,204,105
