MAJOR HEADS FOR THE YEAR 2025 (UPTO JUNE),,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATIO
N
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,100,219,174,8,120,108,283,4146,259,51,1764,257,19,414,1984,434,123,311,435,5355,176,91
2,Mysuru City,10,21,6,1,3,3,30,122,1,6,147,6,2,72,402,32,9,29,54,82,23,7
3,Hubballi Dharwad City,7,100,8,4,4,5,27,71,2,4,39,32,3,46,139,29,27,265,0,81,11,18
4,Mangaluru City,10,27,9,3,1,4,14,122,1,11,82,14,1,85,451,26,16,79,12,56,23,20
5,Belagavi City,10,35,9,2,6,17,40,115,6,22,84,46,0,74,189,17,16,96,0,51,19,5
6,Kalaburagi City,13,29,8,2,6,11,49,142,0,31,112,44,1,65,188,26,19,144,22,31,13,9
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,31,42,7,3,11,20,83,593,8,37,288,64,1,315,914,128,29,87,17,230,30,21
8,Ramanagara,18,35,12,2,8,14,59,213,0,17,195,14,3,218,536,84,28,97,28,102,42,6
9,Tumakuru,16,54,12,4,12,13,89,326,0,20,390,24,1,352,927,168,54,501,60,127,70,27
10,Kolar,13,34,7,1,6,11,37,92,0,57,164,16,1,143,255,51,12,51,5,25,47,10
11,Chickballapura,21,25,7,1,2,14,51,121,0,62,200,34,1,165,300,56,25,281,2,92,91,11
12,K.G.F,6,11,5,1,0,2,25,42,4,11,80,6,0,34,87,12,3,19,12,41,16,3
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,13,43,14,0,5,10,30,168,1,101,333,73,2,197,602,184,23,436,21,31,58,20
14,Davanagere,10,45,11,5,7,19,90,210,2,105,191,65,1,140,397,112,34,279,18,62,31,15
15,Shivamogga,17,114,13,4,16,24,66,258,2,77,424,33,1,196,582,145,63,269,46,53,74,34
16,Haveri,11,45,13,1,3,9,81,262,0,111,111,16,2,137,280,34,39,280,12,49,71,12
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,5,10,4,1,1,8,18,53,0,12,72,16,0,77,359,30,8,13,3,49,25,16
18,Udupi,3,23,7,0,2,3,34,174,1,17,92,19,0,144,463,23,34,59,1,74,15,10
19,Chikkamagaluru,14,28,6,0,3,5,37,104,0,34,284,30,3,95,356,85,30,88,6,36,60,22
20,Uttara Kannada,5,16,8,2,1,7,29,92,0,31,177,21,0,117,337,102,14,226,6,38,30,12
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,38,62,12,4,8,10,66,184,1,144,215,48,2,372,678,105,57,434,3,42,52,32
22,Bagalkot,15,66,4,0,3,14,36,106,0,53,93,24,1,203,258,53,27,286,8,17,34,7
23,Vijayapur,31,58,11,2,6,6,38,166,2,98,217,61,0,210,316,67,53,282,2,217,44,17
24,Dharwad,14,18,0,1,1,13,17,44,0,19,42,13,2,108,159,13,18,103,1,22,10,4
25,Gadag,5,9,3,0,2,9,22,64,1,39,42,10,1,83,89,17,20,265,11,35,26,7
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,22,35,13,2,3,12,66,199,0,70,211,44,2,152,298,61,27,218,17,17,46,15
27,Bidar,20,45,6,0,3,22,53,146,2,68,349,77,1,180,375,24,22,316,4,12,19,7
28,Yadgir,12,36,11,1,0,6,23,88,0,61,100,31,0,93,143,64,41,265,6,18,53,5
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,24,37,3,1,8,15,85,192,0,89,412,34,2,266,946,143,18,94,16,23,61,23
30,Mandya,17,52,11,2,5,19,48,181,1,6,318,29,0,222,879,140,38,173,21,32,56,21
31,Chamarajanagar,15,24,8,0,2,8,50,78,0,25,178,19,1,100,325,101,25,96,15,9,29,17
32,Hassan,16,89,12,1,3,19,64,203,0,18,474,44,2,250,846,109,52,120,31,45,50,16
33,Kodagu,11,31,7,0,1,8,22,62,0,2,140,13,0,34,235,23,12,21,1,47,36,21
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,14,36,8,1,2,12,20,137,0,48,97,51,0,112,172,37,16,521,4,43,17,18
35,Koppal,11,29,9,0,4,14,29,121,1,47,89,35,1,138,225,53,28,333,0,12,20,11
36,Raichur,21,75,18,3,1,15,37,354,0,106,147,51,2,158,184,99,52,356,25,8,30,4
37,Vijayanagara,6,53,5,0,2,7,38,131,0,66,118,44,1,124,171,75,8,278,5,25,37,13
38,Karnataka Railways,10,4,0,2,2,0,0,303,4,0,5,0,0,0,0,1,0,0,0,4,0,0
,Total,635,1715,481,65,273,516,1886,10185,299,1776,8476,1458,60,5891,16047,2963,1120,7771,930,7293,1545,607
