"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
June- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,8167,88,217,197,267,1531950
2,Mysuru City,225,0,0,0,0,25150
3,Hubli-Dharwad City,16,0,0,0,0,2200
4,Mangaluru City,151,0,0,0,0,6945
5,Belagavi City,112,0,0,0,0,8050
6,Kalburgi City,49,0,0,0,0,9700
II,Central Range,,,,,,
1,Bengaluru Dist.,218,0,0,0,0,21800
2,K.G.F.,179,0,0,0,0,15350
3,Kolar,285,0,0,0,0,29800
4,Tumakuru,2224,0,0,0,0,244850
5,Chickballapura,375,0,0,0,0,34200
6,Ramanagara,85,0,0,0,0,12800
III,Eastern Range,,,,,,
1,Chitradurga,1111,0,0,0,0,79850
2,Davanagere,2229,0,0,0,0,206500
3,Shivamogga,701,0,0,0,0,52200
4,Haveri,163,0,0,0,0,15600
IV,Western Range,,,,,,
1,Chickmagalur,210,0,0,0,0,22950
2,D.K.,320,0,0,0,0,22495
3,Udupi,311,0,0,0,0,30500
4,U.K.,476,0,0,0,0,49350
V,Northern Range,,,,,,
1,Bagalakote,499,0,0,0,0,33900
2,Belagavi dist.,21,0,0,0,0,2100
3,Vijayapura,116,0,0,0,0,11300
4,Dharwad,29,0,0,0,0,5600
5,Gadag,447,0,0,0,0,39500
VI,North Eastern Range,,,,,,
1,Bidar,100,0,0,0,0,12400
2,Kalburgi,62,0,0,0,0,7600
3,Yadgiri,213,0,0,0,0,21300
VII,Southern Range,,,,,,
1,Chamarajanagar,756,0,0,0,0,39600
2,Hassan,351,0,0,0,0,30800
3,Kodagu,242,0,0,0,0,19850
4,Mandya,291,0,0,0,0,24050
5,Mysuru Dist.,62,0,0,0,0,5900
VIII,Ballari Range,,,,,,
1,Ballari,403,0,0,0,0,38300
2,Vijayanagara,487,0,0,0,0,51100
3,Koppal,77,0,0,0,0,7200
4,Raichur,973,0,0,0,0,100300
IX,Karnataka Railways,22,0,0,0,0,3400
Total,,22758,88,217,197,267,2876440
