Sl. No.,Heads of Crime,"During the
current year
upto the end of
month under
review","During the
corresponding
month of
previous year","During the
previous month","During the
current month"
17,HIJACKING,,,,
,Foreign Aircraft - In India,0,0,0,0
,Foreign Aircraft - Outside India,0,0,0,0
,Indian Aircraft - In India,0,0,0,0
,Indian Aircraft - Outside India,0,0,0,0
,Sub Total,0,0,0,0
18,IMMORAL TRAFFIC,,,,
,Organised,134,21,34,27
,Un-Organised,69,3,16,10
,Sub Total,203,24,50,37
19,BONDED LABOUR SYSTEM,3,1,0,0
20,INDIAN MOTOR VEHICLE,54,3,5,6
21,"NARCOTIC DRUGS & PSYCHOTROPIC
SUBSTANCES ACT",,,,
,Cultivated/Processed,1543,159,279,369
,Synthetic,1988,195,383,332
,Sub Total,3531,354,662,701
22,PASSPORT ACT,,,,
,Foreigner,2,0,2,0
,Indian,2,0,0,0
,Sub Total,4,0,2,0
23,"REPRESENTATIVE OF PEOPLE ACT 1951 &
1988",,,,
,Assembly,0,1,0,0
,Parliament,0,0,0,0
,Other Elected Bodies,0,0,0,0
,Sub Total,0,1,0,0
24,KARNATAKA POLICE ACT 1963,,,,
,Gambling - Matka (78 Class C),3916,371,694,529
,Street Gambling (87),4269,456,636,560
,House Gambling (79 & 80),154,28,19,24
,Betting,556,7,18,6
,Others,335,47,34,47
,Sub Total,9230,909,1401,1166
25,"PREVENTION OF DAMAGE TO PUBLIC
PROPERTY ACT 1984",64,17,15,5
26,"POST & TELEGRAPH, TELEGRAPH WIRES
(UNLAWFUL POSSESSION) ACT 1980",0,0,0,0
27,OFFICIAL SECURITY RELATED ACTS,,,,
,Official Secrets Act 1923,1,0,1,0
,Essential Services Maintenance Act 1981,0,0,0,0
,Sub Total,1,0,1,0
28,PREVENTION OF TERRORISM ACT (POTA),0,0,0,0
29,RAILWAYS ACT,,,,
,Indian Railways Act 1989,1,0,0,0
,Railway Property (Unlawful Possession) Act 1966,0,0,0,0
,Sub Total,1,0,0,0
30,UNLAWFUL ACTIVITIES (Prevention) Act 1967,0,0,0,0
31,CRIMES RELATED TO WOMEN,,,,
,Dowry Prohibition,1133,151,190,184
,Commission of SATI (Prevention) Act 1987,0,0,0,0
,"Indecent Representation of Women (Prohibition) Act
1986",1,0,1,0
,Sub Total,1134,151,191,184
32,INDIAN LUNACY ACT,0,0,0,0
33,INDIAN ELECTRICITY ACT,8,2,2,0
34,"COTPA, CIGARETTES AND OTHER TOBACCO
PRODUCTS",2446,133,1198,107
35,KARNATAKA STATE LOCAL ACTS,,,,
,Prevention of Insult to National Hounours Act 1971,6,0,0,0
,"Prevention of violence against Doctors, Medical
professionals and Medical institutions",9,0,1,1
,"The Karnataka Prevention of Dangerous Activities
of Bootleggers, Drug-offenders, Gamblers, Goonda
Act",0,0,0,0
,Karnataka Cow Slaughters Act,138,18,25,22
,Banning of Unregulated Deposit Schemes Act,13,1,0,2
,"Motor Spirit and High Speed Diesel (Regulation of
upply, Distribution and Prevention of Malpractice",0,0,0,0
,Karnataka Epidemic Deseases Act 2020,0,0,0,0
,"Karnataka Prevention of Slaughter and
Preservation of Cattle Act 2020",151,14,48,20
,Disaster Management Act 2005,0,0,0,0
,Karnataka Excise Act 1965,6397,549,1143,817
,Karnataka Forest Act 1963,28,4,10,7
