Aadhaar e-Sign details of Chargesheet for the Month of July 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,SP Railways,11,10,90.91
2,Koppal District,28,23,82.14
3,Dharwad District,83,61,73.49
4,Uttara Kannada District,199,140,70.35
5,Bagalkot District,48,33,68.75
6,Chikkamagaluru District,246,169,68.70
7,Yadgir District,100,67,67.00
8,Dakshina Kannada District,41,27,65.85
9,Mysuru City,131,86,65.65
10,Mangalore COP,114,72,63.16
11,Gadag District,100,54,54.00
12,Ballari District,106,57,53.77
13,Vijayapur District,91,45,49.45
14,Bengaluru South District,157,77,49.04
15,K.G.F District,55,23,41.82
16,Chitradurga District,127,50,39.37
17,Vijayanagara District,198,77,38.89
18,Belagavi District,202,72,35.64
19,Raichur District,112,39,34.82
20,Udupi District,96,33,34.38
21,Kalaburagi City,107,36,33.64
22,Davanagere District,233,75,32.19
23,Mandya District,293,87,29.69
24,Chamarajanagar District,136,34,25.00
25,Hubballi Dharwad City,126,31,24.60
26,Kalaburagi District,101,24,23.76
27,Tumakuru District,299,62,20.74
28,Belagavi City,38,7,18.42
29,Haveri District,64,9,14.06
30,Bengaluru City,1720,217,12.62
31,Bengaluru District,218,25,11.47
32,Hassan District,293,22,7.51
33,Shivamogga District,423,18,4.26
34,Mysuru District,473,13,2.75
35,Bidar District,111,2,1.80
36,KODAGU(Madikeri) District,98,1,1.02
37,Chickballapura District,182,0,0.00
38,Kolar District,64,0,0.00
Total,,7224,1878,26.00
