MAJOR HEADS FOR THE MONTH OF AUGUST-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMB
LING","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,12,24,22,1,24,14,66,573,39,6,269,52,5,84,365,79,15,26,62,862,27,17
2,Mysuru City,1,3,0,1,0,0,1,25,0,0,28,1,0,13,73,1,1,5,9,17,4,1
3,Hubballi Dharwad City,0,10,2,0,0,0,4,12,0,1,8,10,0,5,24,5,1,12,0,23,0,2
4,Mangaluru City,1,8,1,2,1,0,3,29,0,2,11,3,0,14,64,6,3,8,0,14,5,0
5,Belagavi City,4,4,1,0,0,2,6,16,0,1,12,6,0,9,42,2,3,4,0,5,5,0
6,Kalaburagi City,5,5,3,0,3,1,8,28,0,4,15,6,0,9,41,3,3,31,5,4,0,0
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,5,10,3,0,3,8,29,92,4,2,37,8,1,48,149,12,9,7,3,30,3,4
8,Bengaluru South,2,7,2,0,2,7,6,44,0,3,34,4,0,24,82,24,4,14,2,23,7,3
9,Tumakuru,1,13,4,1,2,6,16,43,0,4,57,5,2,44,176,30,6,34,8,28,11,3
10,Kolar,2,3,0,0,3,2,4,8,0,5,30,1,0,22,48,5,4,3,1,8,4,3
11,Chickballapura,2,5,0,0,0,2,5,23,0,10,26,7,0,20,53,15,3,22,0,27,6,1
12,K.G.F,1,4,1,0,0,0,8,10,1,3,13,0,0,1,12,2,1,2,0,6,3,1
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,3,10,3,1,0,7,6,34,0,29,47,11,0,25,90,22,2,28,3,8,4,0
14,Davanagere,0,5,0,1,3,1,8,35,0,19,18,10,0,16,63,24,7,27,4,10,10,2
15,Shivamogga,3,18,4,0,1,2,6,29,1,29,50,6,0,27,84,19,7,13,6,16,22,2
16,Haveri,4,9,1,0,0,1,21,35,1,19,10,3,0,19,39,4,3,56,2,5,9,1
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,2,1,0,0,2,2,21,0,6,19,2,0,6,46,3,2,0,0,15,5,3
18,Udupi,2,3,4,0,0,2,1,19,0,1,7,4,0,15,57,1,4,12,1,25,0,1
19,Chikkamagaluru,4,5,3,0,1,3,8,24,0,3,32,3,0,16,54,9,3,12,3,8,12,7
20,Uttara Kannada,3,5,4,0,1,2,6,8,0,9,27,1,0,14,37,7,8,46,0,4,7,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,8,8,2,0,3,4,14,37,0,13,24,8,0,49,108,12,9,56,2,9,15,5
22,Bagalkot,1,8,3,0,0,3,13,20,0,7,11,3,0,25,49,8,5,68,0,5,6,0
23,Vijayapur,5,8,1,0,2,4,9,24,0,18,21,14,0,23,61,9,2,69,0,33,7,2
24,Dharwad,1,1,0,1,0,1,0,6,0,2,5,0,0,13,24,2,4,29,1,7,4,0
25,Gadag,1,1,0,1,0,0,3,23,0,7,4,0,0,9,10,0,4,52,4,4,0,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,1,1,1,0,0,4,12,26,0,11,27,12,1,11,45,7,0,52,2,3,8,0
27,Bidar,2,5,1,0,1,3,15,23,0,3,47,8,0,17,41,4,0,36,1,7,2,0
28,Yadgir,1,8,0,0,0,0,3,18,0,4,18,2,1,10,15,10,5,26,0,1,9,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,3,12,1,0,1,1,21,27,0,14,77,4,0,30,133,31,2,23,5,5,8,2
30,Mandya,5,8,3,0,0,3,5,24,0,2,71,5,0,35,172,28,7,19,2,14,4,6
31,Chamarajanagar,0,3,0,0,0,0,5,20,0,2,35,6,0,25,39,10,4,17,3,3,3,0
32,Hassan,7,13,4,1,0,1,13,22,0,15,61,3,0,29,122,13,11,12,2,11,11,2
33,Kodagu,1,3,0,0,1,0,2,17,0,0,28,0,0,4,25,8,0,4,0,6,9,1
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,5,2,0,1,1,4,18,0,8,10,11,0,17,37,6,5,68,0,9,7,1
35,Koppal,1,8,1,0,1,2,6,34,1,7,10,10,0,14,36,7,8,45,0,1,5,1
36,Raichur,1,11,4,0,1,1,7,22,0,12,28,6,0,14,32,16,13,39,3,2,4,0
37,Vijayanagara,2,5,0,0,0,1,1,11,0,6,6,6,0,17,23,2,0,16,0,3,6,3
,Karnataka Railways,0,0,0,0,0,0,0,42,0,0,2,0,0,0,0,1,0,0,0,3,0,0
,Total,97,261,82,10,55,91,347,1522,47,287,1235,241,10,773,2571,447,168,993,134,1264,252,80
