"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of August- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3237,3,10,12,3,450050
2,Mysuru City,795,0,0,0,0,74400
3,Hubli-Dharwad City,275,0,0,0,0,44850
4,Mangaluru City,174,0,0,0,0,12395
5,Belagavi City,18,0,0,0,0,1500
6,Kalburgi City,63,0,0,0,0,12600
II,Central Range,,,,,,
1,Bengaluru Dist.,393,0,0,0,0,44000
2,K.G.F.,137,0,0,0,0,10450
3,Kolar,378,0,0,0,0,37100
4,Tumakuru,1168,0,0,0,0,114200
5,Chickballapura,254,0,0,0,0,28950
6,Ramanagara,65,0,0,0,0,10000
III,Eastern Range,,,,,,
1,Chitradurga,1332,0,0,0,0,106950
2,Davanagere,378,0,0,0,0,37400
3,Shivamogga,249,0,0,0,0,18650
4,Haveri,205,0,0,0,0,19000
IV,Western Range,,,,,,
1,Chickmagalur,116,0,0,0,0,13600
2,D.K.,101,0,0,0,0,5680
3,Udupi,416,0,0,0,0,40200
4,U.K.,387,0,0,0,0,40750
V,Northern Range,,,,,,
1,Bagalakote,66,0,0,0,0,4200
2,Belagavi dist.,101,0,0,0,0,10100
3,Vijayapura,100,0,0,0,0,10400
4,Dharwad,33,0,0,0,0,6400
5,Gadag,111,0,0,0,0,10150
VI,North Eastern Range,,,,,,
1,Bidar,0,0,0,0,0,0
2,Kalburgi,28,0,0,0,0,3000
3,Yadgiri,155,0,0,0,0,15900
VII,Southern Range,,,,,,
1,Chamarajanagar,0,0,0,0,0,0
2,Hassan,276,0,0,0,0,23600
3,Kodagu,198,0,0,0,0,15000
4,Mandya,142,0,0,0,0,11650
5,Mysuru Dist.,58,0,0,0,0,58000
VIII,Ballari Range,,,,,,
1,Ballari,386,0,0,0,0,37600
2,Vijayanagara,212,0,0,0,0,21200
3,Koppal,119,0,0,0,0,10111
4,Raichur,908,0,0,0,0,64350
IX,Karnataka Railways,9,0,0,0,0,1800
Total,,13043,3,10,12,3,1426186
