Sl.No,District_Name,FIR Count,FIR eSign Count,FIR %
1,Vijayapur District,402,395,98.26
2,Koppal District,253,243,96.05
3,Vijayanagara District,238,222,93.28
4,Dharwad District,147,135,91.84
5,Bagalkot District,358,328,91.62
6,Yadgir District,182,166,91.21
7,Chitradurga District,497,452,90.95
8,Chikkamagaluru District,339,303,89.38
9,SP Railways,65,56,86.15
10,Uttara Kannada District,381,326,85.56
11,Bengaluru South District,407,330,81.08
12,K.G.F District,137,109,79.56
13,Belagavi City,174,128,73.56
14,Mysuru City,241,165,68.46
15,Haveri District,321,212,66.04
16,Kalaburagi City,209,130,62.20
17,Raichur District,291,176,60.48
18,Mandya District,536,324,60.45
19,Hubballi Dharwad City,204,122,59.80
20,Belagavi District,521,296,56.81
21,Gadag District,183,102,55.74
22,Udupi District,276,143,51.81
23,Dakshina Kannada District,220,109,49.55
24,Chamarajanagar District,261,86,32.95
25,Kolar District,252,82,32.54
26,Tumakuru District,710,211,29.72
27,Bengaluru City,6628,1810,27.31
28,Ballari District,322,69,21.43
29,Hassan District,507,101,19.92
30,Bengaluru District,760,141,18.55
31,Davanagere District,336,48,14.29
32,Mysuru District,489,57,11.66
33,Kalaburagi District,225,24,10.67
34,Chickballapura District,332,35,10.54
35,Bidar District,271,16,5.90
36,Mangalore COP,304,16,5.26
37,KODAGU(Madikeri) District,197,0,0.00
38,Shivamogga District,580,0,0.00
Total,,18756,7668,40.88
