MAJOR HEADS FOR THE YEAR 2025 (UPTO SEPTEMBER),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,141,342,246,14,201,156,462,6079,365,64,2647,409,26,664,3104,709,181,377,697,8089,265,150
2,Mysuru City,12,30,6,2,5,5,39,191,0,8,233,13,2,123,594,37,14,38,85,135,36,14
3,Hubballi Dharwad City,8,135,12,4,6,7,42,102,4,6,56,55,4,74,194,38,36,295,0,140,16,25
4,Mangaluru City,12,43,18,6,2,4,22,200,1,12,116,26,1,122,629,43,25,113,13,103,37,26
5,Belagavi City,15,49,11,2,6,22,60,166,7,28,126,63,0,110,308,24,21,118,1,75,29,5
6,Kalaburagi City,26,37,12,2,11,16,69,214,0,39,163,64,2,93,284,31,26,245,29,42,23,10
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,45,67,19,5,23,37,150,882,12,59,423,102,7,464,1337,183,61,111,25,331,53,43
8,Bengaluru South,29,50,15,2,11,31,82,320,0,28,311,20,3,302,798,140,43,129,39,155,66,14
9,Tumakuru,27,86,22,5,17,27,132,465,0,26,566,53,3,514,1395,261,88,626,85,206,109,39
10,Kolar,16,45,8,2,11,18,47,130,0,82,224,14,2,202,389,84,23,59,18,53,82,16
11,Chickballapura,27,42,10,1,2,19,66,190,0,90,298,54,1,254,431,97,31,362,3,165,122,14
12,K.G.F,7,17,7,1,1,5,44,66,5,16,123,6,0,48,128,17,7,29,15,65,22,7
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,21,69,21,2,7,29,48,259,1,178,501,102,2,280,875,258,37,520,33,53,92,29
14,Davanagere,16,61,11,8,11,22,121,311,0,150,262,98,1,205,548,167,54,365,25,89,59,21
15,Shivamogga,28,153,18,5,19,31,95,349,1,123,607,55,0,264,795,202,79,325,65,103,133,50
16,Haveri,18,69,15,0,7,14,119,361,1,155,149,24,2,190,389,43,51,434,17,71,104,17
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,16,8,1,2,11,21,108,0,23,118,25,0,100,509,41,15,17,4,95,36,25
18,Udupi,9,33,15,1,3,5,52,223,1,19,123,24,0,188,617,32,48,98,3,151,21,13
19,Chikkamagaluru,19,44,9,2,9,13,52,150,0,39,397,45,3,137,509,113,46,127,14,62,84,35
20,Uttara Kannada,13,30,16,2,5,13,55,114,0,48,265,31,0,157,441,135,36,389,8,56,43,18
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,54,96,15,6,11,19,105,296,0,192,309,61,2,528,948,147,90,528,14,60,89,43
22,Bagalkot,22,100,8,1,4,18,60,176,0,80,134,29,1,286,383,87,46,481,14,30,50,8
23,Vijayapur,47,78,17,4,8,18,58,243,0,142,290,94,2,293,449,96,70,441,2,304,69,25
24,Dharwad,18,24,0,2,3,18,20,66,0,26,56,11,2,142,223,18,34,174,6,35,18,4
25,Gadag,6,17,4,2,4,9,41,117,1,65,54,11,0,120,115,23,35,416,17,49,34,8
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,31,44,17,3,3,22,105,282,0,106,289,66,3,202,430,86,30,331,22,22,67,17
27,Bidar,25,59,8,0,6,29,87,213,2,88,486,105,1,240,530,37,28,410,12,29,29,11
28,Yadgir,18,54,15,1,0,8,34,137,0,81,156,38,1,124,189,90,59,340,11,21,80,10
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,33,57,3,2,10,18,134,274,0,114,631,41,4,363,1354,199,28,149,34,37,99,33
30,Mandya,28,72,16,2,5,31,75,259,1,17,490,37,1,323,1378,213,59,222,29,60,77,39
31,Chamarajanagar,18,33,10,2,2,16,76,124,0,32,276,33,1,163,443,138,36,135,26,23,39,25
32,Hassan,27,127,22,2,3,28,105,269,0,38,674,63,2,360,1197,155,84,167,49,78,108,24
33,Kodagu,14,40,10,1,4,10,31,97,0,4,209,17,0,50,316,42,19,27,1,64,61,23
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,19,45,11,1,3,14,37,220,0,78,151,68,0,160,255,59,27,735,6,69,35,25
35,Koppal,17,39,11,0,4,22,46,195,3,80,120,54,1,190,335,86,46,496,0,18,34,17
36,Raichur,29,98,28,1,3,23,53,445,0,168,220,71,3,211,264,145,92,482,43,13,44,7
37,Vijayanagara,9,78,6,0,1,10,48,171,0,88,152,60,1,161,248,93,14,341,6,34,61,15
,Karnataka Railways,12,7,0,1,4,0,0,405,8,0,8,0,1,1,0,4,0,0,0,10,0,1
,Total,923,2486,700,98,437,798,2893,14869,413,2592,12413,2142,85,8408,23331,4373,1719,10652,1471,11195,2426,906
