"Unitwise Statistics of cases Booked under COTPA Act 2003
for the month of September- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,4108,10,36,30,62,628660
2,Mysuru City,239,0,0,0,0,27400
3,Hubli-Dharwad City,3,0,0,0,0,300
4,Mangaluru City,209,0,0,0,0,7595
5,Belagavi City,7,0,0,0,0,450
6,Kalburgi City,2,0,0,0,0,400
II,Central Range,,,,,,
1,Bengaluru Dist.,213,0,0,0,0,24950
2,K.G.F.,489,0,0,0,0,43900
3,Kolar,606,0,0,0,0,56300
4,Tumakuru,919,0,0,0,0,101200
5,Chickballapura,136,0,0,0,0,17400
6,Ramanagara,150,0,0,0,0,15000
III,Eastern Range,,,,,,
1,Chitradurga,1107,0,0,0,0,88050
2,Davanagere,265,0,0,0,0,26950
3,Shivamogga,87,0,0,0,0,4850
4,Haveri,663,0,0,0,0,59200
IV,Western Range,,,,,,
1,Chickmagalur,22,0,0,0,0,2700
2,D.K.,326,0,0,0,0,20670
3,Udupi,633,0,0,0,0,69250
4,U.K.,518,0,0,0,0,55400
V,Northern Range,,,,,,
1,Bagalakote,0,0,0,0,40,0
2,Belagavi dist.,72,0,0,0,0,7800
3,Vijayapura,32,0,0,0,0,3200
4,Dharwad,45,0,0,0,0,5000
5,Gadag,246,0,0,0,0,23750
VI,North Eastern Range,,,,,,
1,Bidar,70,0,0,0,0,7000
2,Kalburgi,12,0,0,0,0,1200
3,Yadgiri,125,0,0,0,0,12500
VII,Southern Range,,,,,,
1,Chamarajanagar,202,0,0,0,0,10400
2,Hassan,217,0,0,0,0,15800
3,Kodagu,21,0,0,0,0,2300
4,Mandya,124,0,0,0,0,9300
5,Mysuru Dist.,0,0,0,0,0,0
VIII,Ballari Range,,,,,,
1,Ballari,377,0,0,0,0,46650
2,Vijayanagara,234,0,0,0,0,22000
3,Koppal,44,0,0,0,0,3900
4,Raichur,569,0,0,0,0,56900
IX,Karnataka Railways,6,0,0,0,0,600
Total,,13098,10,36,30,102,1478925
