MAJOR HEADS FOR THE YEAR 2025 (UPTO OCTOBER),,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,160,386,116,17,230,168,530,6823,394,68,2971,465,29,745,3461,817,203,419,768,8927,300,169
2,Mysuru City,15,33,7,3,5,5,44,218,0,8,253,18,2,142,680,40,17,39,94,154,40,21
3,Hubballi Dharwad City,8,146,8,5,8,8,48,108,6,10,64,62,4,83,220,42,42,339,0,156,18,28
4,Mangaluru City,12,47,16,6,2,4,26,235,1,13,127,28,1,134,705,45,27,117,15,118,42,27
5,Belagavi City,17,62,9,2,6,24,67,185,10,31,140,71,0,131,337,27,22,134,2,85,32,5
6,Kalaburagi City,27,45,10,3,11,19,83,229,0,44,179,68,2,98,322,36,28,259,36,43,24,12
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,46,74,14,6,27,42,175,988,14,62,474,117,8,522,1478,194,69,115,26,365,58,47
8,Bengaluru South,32,50,15,2,13,31,87,346,0,32,347,24,3,340,919,166,51,143,46,179,73,14
9,Tumakuru,30,97,22,6,18,31,146,517,0,33,629,62,3,562,1536,297,108,644,96,233,128,45
10,Kolar,20,55,7,2,11,20,61,150,0,91,250,20,3,220,440,91,25,59,18,61,88,19
11,Chickballapura,29,46,11,1,2,20,70,215,0,102,326,62,2,283,491,107,35,385,4,180,136,16
12,K.G.F,8,20,6,1,1,7,50,76,6,17,147,6,0,56,135,18,8,32,15,68,26,8
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,22,82,24,3,7,31,51,296,1,195,553,105,2,315,971,279,46,559,41,60,104,31
14,Davanagere,17,72,10,8,14,25,134,359,0,167,300,105,2,232,614,178,61,412,27,98,64,26
15,Shivamogga,31,176,18,8,21,32,107,392,1,134,672,62,0,286,886,227,88,361,73,124,155,50
16,Haveri,20,79,18,0,7,15,130,403,1,169,169,27,2,209,442,47,61,531,22,80,112,17
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,20,7,1,4,14,22,117,0,26,135,24,0,110,566,43,20,17,11,109,40,29
18,Udupi,10,33,14,1,3,5,56,250,2,20,130,25,0,207,703,34,51,110,3,164,22,14
19,Chikkamagaluru,23,54,9,2,9,14,58,169,0,45,453,45,5,156,565,120,51,159,17,79,92,38
20,Uttara Kannada,15,33,16,2,6,13,63,121,0,53,289,36,0,174,502,148,40,475,10,59,48,18
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,59,115,19,6,15,20,120,323,0,216,344,76,3,609,1045,167,100,730,14,66,97,47
22,Bagalkot,30,109,8,1,4,19,69,196,0,95,150,32,2,306,421,97,57,549,16,34,52,11
23,Vijayapur,57,94,19,5,10,18,64,271,0,153,320,103,2,336,493,106,76,481,2,328,82,27
24,Dharwad,20,25,0,2,3,19,22,73,0,34,70,12,2,158,242,21,36,252,6,43,20,4
25,Gadag,7,20,4,2,5,9,43,140,1,76,63,18,1,131,129,29,39,516,21,53,38,10
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,32,49,17,3,3,25,117,323,0,119,328,71,4,226,489,96,34,373,24,24,71,18
27,Bidar,27,66,7,1,5,33,93,230,2,98,528,110,1,267,584,41,31,490,13,35,35,12
28,Yadgir,19,62,12,1,0,8,36,155,0,91,174,39,1,137,208,98,63,366,11,22,96,10
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,35,68,2,2,13,23,153,296,0,122,698,46,4,401,1494,223,31,158,34,48,106,39
30,Mandya,31,77,16,2,4,33,89,297,2,25,569,42,1,364,1576,241,65,233,30,72,82,45
31,Chamarajanagar,22,37,9,2,2,15,86,144,0,33,309,36,1,178,502,158,41,139,31,28,43,31
32,Hassan,31,135,22,2,3,37,121,289,0,41,739,70,2,394,1361,170,93,173,55,83,115,27
33,Kodagu,14,45,9,3,4,10,35,107,0,4,234,17,0,53,356,44,20,28,1,69,70,23
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,23,52,12,1,4,17,47,239,1,79,172,80,0,182,291,60,29,980,6,76,37,25
35,Koppal,19,42,12,0,4,25,50,217,4,83,129,59,1,214,361,93,47,620,0,20,41,19
36,Raichur,30,106,30,1,2,26,64,487,0,175,243,84,3,236,283,158,101,558,45,17,55,9
37,Vijayanagara,11,81,6,1,1,11,54,183,0,94,164,62,1,173,289,105,20,486,10,36,69,17
,Karnataka Railways,14,7,0,1,6,0,0,455,8,0,10,0,1,1,0,4,0,0,0,10,0,2
,Total,1030,2800,561,115,493,876,3271,16622,454,2858,13852,2389,98,9371,26097,4867,1936,12441,1643,12406,2711,1010
