Aadhaar e-Sign details of Chargesheet for the Month of October 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Dharwad District,82,66,80.49
2,Hubballi Dharwad City,90,70,77.78
3,Belagavi District,183,136,74.32
4,Mangalore COP,68,49,72.06
5,Koppal District,161,115,71.43
6,Dakshina Kannada District,60,41,68.33
7,Chikkamagaluru District,296,185,62.50
8,Bagalkot District,94,55,58.51
9,Vijayanagara District,62,35,56.45
10,Vijayapur District,73,38,52.05
11,Raichur District,89,45,50.56
12,Udupi District,91,45,49.45
13,Uttara Kannada District,176,82,46.59
14,Yadgir District,66,30,45.45
15,Chitradurga District,200,77,38.50
16,Tumakuru District,362,135,37.29
17,Kalaburagi City,57,20,35.09
18,Belagavi City,62,21,33.87
19,SP Railways,6,2,33.33
20,Mysuru City,192,63,32.81
21,Gadag District,153,40,26.14
22,Mandya District,230,60,26.09
23,K.G.F District,55,13,23.64
24,Bengaluru South District,86,19,22.09
25,Ballari District,136,26,19.12
26,Kalaburagi District,52,9,17.31
27,Haveri District,60,7,11.67
28,Hassan District,119,10,8.40
29,Bidar District,50,4,8.00
30,Bengaluru City,1747,121,6.93
31,Chamarajanagar District,47,3,6.38
32,Shivamogga District,242,10,4.13
33,Chickballapura District,121,2,1.65
34,Bengaluru District,122,2,1.64
35,Davanagere District,133,2,1.50
36,KODAGU(Madikeri) District,91,0,0.00
37,Kolar District,49,0,0.00
38,Mysuru District,119,0,0.00
Total,,6084,1638,26.92
