"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
October- 2025",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section 7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3687,2,10,10,8,586800
2,Mysuru City,1034,0,0,0,0,91050
3,Hubli-Dharwad City,0,0,0,0,0,0
4,Mangaluru City,156,0,0,0,0,7860
5,Belagavi City,70,0,0,0,0,5500
6,Kalburgi City,0,0,0,0,0,0
II,Central Range,,,,,,
1,Bengaluru Dist.,111,0,0,0,0,11100
2,K.G.F.,403,0,0,0,0,36400
3,Kolar,301,0,0,0,0,29250
4,Tumakuru,1299,0,0,0,0,136510
5,Chickballapura,104,0,0,0,0,11200
6,Ramanagara,131,0,0,0,0,13600
III,Eastern Range,,,,,,
1,Chitradurga,1731,0,0,0,0,122210
2,Davanagere,518,0,0,0,0,97750
3,Shivamogga,212,0,0,0,0,16850
4,Haveri,331,0,0,0,0,31250
IV,Western Range,,,,,,
1,Chickmagalur,98,0,0,0,0,15450
2,D.K.,483,0,0,0,0,28940
3,Udupi,586,0,0,0,0,66400
4,U.K.,654,0,0,0,0,69950
V,Northern Range,,,,,,
1,Bagalakote,3,0,0,0,17,300
2,Belagavi dist.,268,0,0,0,0,26800
3,Vijayapura,63,0,0,0,0,6300
4,Dharwad,8,0,0,0,0,1300
5,Gadag,1826,0,0,0,0,170150
VI,North Eastern Range,,,,,,
1,Bidar,145,0,0,0,0,19500
2,Kalburgi,47,0,0,0,0,8000
3,Yadgiri,62,0,0,0,0,6200
VII,Southern Range,,,,,,
1,Chamarajanagar,154,0,0,0,0,7800
2,Hassan,101,0,0,0,0,8900
3,Kodagu,45,0,0,0,0,3700
4,Mandya,76,0,0,0,0,7300
5,Mysuru Dist.,107,0,0,0,0,10900
VIII,Ballari Range,,,,,,
1,Ballari,432,0,0,0,0,42000
2,Vijayanagara,332,0,0,0,0,34000
3,Koppal,55,0,0,0,0,5500
4,Raichur,654,0,0,0,0,63900
IX,Karnataka Railways,0,0,0,0,0,0
Total,,16287,2,10,10,25,1800620
