Aadhaar e-Sign details of Chargesheet for the Month of November 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,185,174,94.05
2,Mangalore COP,101,77,76.24
3,Dharwad District,45,32,71.11
4,Ballari District,106,68,64.15
5,Mysuru City,209,127,60.77
6,Bagalkot District,40,24,60.00
7,Vijayapur District,134,80,59.70
8,K.G.F District,54,32,59.26
9,Vijayanagara District,156,91,58.33
10,Uttara Kannada District,183,106,57.92
11,Chikkamagaluru District,203,104,51.23
12,Dakshina Kannada District,63,31,49.21
13,Chitradurga District,197,92,46.70
14,SP Railways,9,4,44.44
15,Yadgir District,84,37,44.05
16,Udupi District,85,34,40.00
17,Bengaluru South District,182,72,39.56
18,Raichur District,76,30,39.47
19,Hubballi Dharwad City,90,28,31.11
20,Belagavi District,185,57,30.81
21,Kalaburagi District,67,15,22.39
22,Mandya District,315,70,22.22
23,Tumakuru District,299,62,20.74
24,Bengaluru District,125,23,18.40
25,Chamarajanagar District,77,14,18.18
26,Gadag District,90,12,13.33
27,Belagavi City,76,10,13.16
28,Haveri District,51,6,11.76
29,Kalaburagi City,53,6,11.32
30,Bengaluru City,2007,179,8.92
31,Kolar District,64,5,7.81
32,Hassan District,208,16,7.69
33,Shivamogga District,288,5,1.74
34,Bidar District,85,1,1.18
35,Davanagere District,181,2,1.10
36,Chickballapura District,136,0,0.00
37,KODAGU(Madikeri) District,56,0,0.00
38,Mysuru District,230,0,0.00
Total,,6795,1726,25.40
