MAJOR HEADS FOR THE MONTH OF DECEMBER-2025,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,48,11,5,31,13,51,727,40,6,312,56,3,79,397,123,31,51,77,928,33,15
2,Mysuru City,2,3,0,0,0,1,2,25,1,0,29,5,0,12,77,9,0,1,10,20,3,1
3,Hubballi Dharwad City,1,5,0,0,3,2,4,13,0,4,8,3,0,7,28,8,5,9,0,16,3,4
4,Mangaluru City,1,3,0,0,3,1,3,23,1,2,12,4,0,7,90,5,3,3,0,17,1,4
5,Belagavi City,0,1,2,0,0,3,7,20,1,2,27,7,0,9,36,1,1,6,0,7,2,3
6,Kalaburagi City,0,1,1,0,1,1,3,16,0,3,18,5,0,6,49,6,2,31,0,9,2,3
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,3,7,1,0,0,4,18,94,0,4,71,7,0,53,173,14,7,6,1,40,1,3
8,Bengaluru South,1,9,2,0,1,2,13,32,0,3,41,3,0,28,101,19,4,8,5,25,7,1
9,Tumakuru,7,16,3,1,0,1,19,41,0,10,78,5,0,52,178,33,12,33,16,21,11,4
10,Kolar,2,5,1,0,2,2,9,19,0,13,35,3,1,21,48,3,1,0,1,6,6,2
11,Chickballapura,2,1,0,0,2,2,6,15,0,9,33,2,1,39,61,4,6,19,0,18,12,3
12,K.G.F,0,0,1,0,0,6,0,8,0,1,14,0,0,5,10,1,1,0,0,7,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,0,6,1,0,0,0,7,34,1,17,54,8,2,30,103,25,9,26,1,5,5,6
14,Davanagere,0,9,1,1,1,5,9,42,0,31,36,8,0,30,79,18,8,32,3,8,6,1
15,Shivamogga,5,15,0,2,6,2,11,38,1,11,58,6,1,33,99,15,5,56,10,16,18,5
16,Haveri,3,12,0,1,1,1,16,29,0,17,25,5,0,24,53,3,8,17,5,10,10,1
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,0,0,0,0,1,4,20,0,3,19,1,0,12,75,4,4,0,1,14,6,3
18,Udupi,1,2,1,0,0,2,3,15,0,0,12,3,0,22,76,0,5,15,0,19,3,1
19,Chikkamagaluru,2,10,1,1,1,3,5,21,0,0,58,4,0,26,70,19,14,6,1,5,11,4
20,Uttara Kannada,1,4,1,0,1,0,5,13,0,7,32,2,0,6,67,30,6,56,2,3,6,1
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,15,3,0,2,3,18,44,0,26,38,11,0,62,136,18,16,50,3,9,14,5
22,Bagalkot,1,8,0,0,0,5,14,20,0,9,10,2,0,31,52,12,8,61,2,5,0,2
23,Vijayapur,6,10,2,0,1,4,15,28,1,14,41,7,0,41,43,11,3,58,1,22,2,0
24,Dharwad,2,3,0,0,0,1,4,8,0,5,8,1,0,30,13,1,5,9,2,3,3,0
25,Gadag,1,2,1,0,0,3,8,13,0,10,8,2,0,11,18,3,5,18,4,3,3,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,1,6,1,0,2,9,7,48,0,17,21,10,0,23,56,10,5,77,2,5,1,0
27,Bidar,3,5,1,0,0,4,8,26,0,5,28,10,0,31,87,5,6,28,0,2,3,1
28,Yadgir,1,5,0,0,0,2,9,28,0,8,24,8,0,16,34,5,6,117,1,2,3,1
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,3,0,1,0,1,15,16,0,7,63,6,0,33,187,15,8,19,0,9,9,2
30,Mandya,3,9,1,0,0,3,15,29,0,1,68,3,0,59,178,20,9,17,3,3,9,4
31,Chamarajanagar,1,6,0,0,0,1,7,9,0,3,33,2,0,22,50,10,7,10,0,2,4,1
32,Hassan,1,10,2,1,1,7,12,28,0,11,82,5,0,48,130,23,12,18,8,5,14,4
33,Kodagu,0,2,0,1,0,3,1,14,0,0,20,2,0,6,44,2,1,2,0,4,4,3
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,4,0,0,0,0,7,30,0,4,18,6,0,18,23,1,1,78,0,7,45,26
35,Koppal,2,2,1,0,0,1,1,24,0,2,5,9,0,24,46,14,5,55,1,4,5,1
36,Raichur,2,13,1,0,0,3,3,49,0,12,24,10,0,33,26,21,10,90,2,3,0,0
37,Vijayanagara,2,5,1,0,0,3,6,24,0,6,9,6,0,15,28,10,5,92,0,3,3,2
38,Karnataka Railways,1,0,0,0,1,0,0,43,1,0,2,0,0,0,1,0,1,0,0,1,0,0
,Total,81,265,41,14,60,105,345,1726,47,283,1474,237,8,1004,3022,521,245,1174,162,1286,270,118
