Aadhaar e-Sign details of Chargesheet for the Month of December 2025,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,130,122,93.85
2,Dakshina Kannada District,49,33,67.35
3,Mysuru City,111,70,63.06
4,K.G.F District,43,27,62.79
5,Vijayapur District,101,59,58.42
6,Uttara Kannada District,123,70,56.91
7,Mangalore COP,102,55,53.92
8,Chikkamagaluru District,106,53,50.00
9,Yadgir District,118,55,46.61
10,Bagalkot District,89,39,43.82
11,Udupi District,39,17,43.59
12,Bengaluru South District,116,47,40.52
13,SP Railways,8,3,37.50
14,Belagavi City,27,10,37.04
15,Chitradurga District,170,57,33.53
16,Haveri District,25,8,32.00
17,Hubballi Dharwad City,33,10,30.30
18,Tumakuru District,309,85,27.51
19,Vijayanagara District,149,37,24.83
20,Ballari District,65,16,24.62
21,Belagavi District,114,27,23.68
22,Kalaburagi City,49,11,22.45
23,Raichur District,94,19,20.21
24,Mandya District,308,54,17.53
25,Gadag District,86,14,16.28
26,Kalaburagi District,73,11,15.07
27,Bidar District,67,7,10.45
28,Dharwad District,40,4,10.00
29,Hassan District,264,19,7.20
30,Chamarajanagar District,59,4,6.78
31,Bengaluru City,1587,91,5.73
32,Bengaluru District,72,2,2.78
33,Shivamogga District,289,6,2.08
34,Davanagere District,93,1,1.08
35,Chickballapura District,84,0,0.00
36,KODAGU(Madikeri) District,39,0,0.00
37,Kolar District,93,0,0.00
38,Mysuru District,153,0,0.00
Total,,5477,1143,20.87
