"Sl.
NO",Service Name,Received,Disposed,Pending
1,Job / Service Verification,35994,23368,12626
2,"Police Verification Certificate(PVC) for Central/State Govt
employees if request is received directly by the employee / By
Concerned Department",1304,945,359
3,"Police Clearance Certificate for going abroad (Visa for studies)/
Police Clearance Certificate for Foreign Nationals",197,122,75
4,"Police verification Certificate for Coolies/Loader/Class IV Security
Staff/ Supervisor at Airport (Individual applicants only)",10501,6376,4125
5,"Police Verification Certificate for domestic servants/house
keeping",0,0,0
6,Police Verification Certificate for Institutions/ Companies,90,57,33
7,Police verification Certificate for Marriage Alliances,46,31,15
8,"Police verification Certificate for Training Apprenticeship at Public
Undertakings /for trainees/ Workers working on daily wages at
Govt. Institutions",8300,3984,4316
9,Amplified Sound System,1009,641,368
10,"Missing Report of documents, Mobile phone etc",255,51,204
11,Disposal of petitions,30,1,29
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,134,0,134
14,Complaint Registration,87,11,76
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,1,0,1
19,Application for Temporary License for Sale of Crackers,0,0,0
20,"NOC for setting up of Petroleum, Diesel and Naphtha sale and
transport",0,0,0
Total,,57948,35587,22361
