MAJOR HEADS FOR THE MONTH OF JANUARY-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,12,47,12,9,93,14,65,862,13,289,57,2,90,342,87,20,30,97,1509,37,27
2,Mysuru City,1,1,2,0,4,0,11,23,2,27,1,1,16,88,6,2,2,19,30,6,4
3,Hubballi Dharwad City,1,3,0,0,1,2,7,22,5,16,5,0,9,44,3,5,30,,22,1,1
4,Mangaluru City,2,4,1,0,2,1,1,16,1,12,0,0,12,68,8,2,15,6,12,4,3
5,Belagavi City,1,4,1,0,2,4,16,18,2,18,4,0,17,36,4,1,11,,11,2,1
6,Kalaburagi City,0,3,1,0,3,2,5,19,4,13,2,0,14,24,3,5,48,5,6,1,0
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,3,13,1,2,10,13,24,130,10,52,9,0,60,156,19,12,6,7,93,10,6
8,Ramanagara,7,4,0,2,3,3,8,39,5,43,6,1,27,98,13,6,13,4,9,14,14
9,Tumakuru,4,18,2,3,10,8,27,77,3,63,5,0,63,157,36,6,29,8,20,19,17
10,Kolar,0,5,0,0,6,4,9,18,12,26,1,1,24,47,5,6,9,,5,8,6
11,Chickballapura,1,2,2,0,4,2,9,21,3,34,3,1,30,44,8,6,27,,22,18,16
12,K.G.F,1,6,2,0,0,1,7,7,0,10,0,0,3,17,3,0,16,2,12,3,2
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,5,11,0,0,0,0,17,33,14,60,10,0,39,108,34,5,38,3,9,11,8
14,Davanagere,3,8,0,1,7,2,11,28,20,22,3,0,24,73,17,4,5,7,11,10,8
15,Shivamogga,2,13,2,2,2,4,13,29,14,62,9,0,39,94,32,10,28,8,9,18,17
16,Haveri,2,4,2,0,1,1,9,41,32,30,4,0,25,51,14,5,13,2,8,10,9
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,2,0,0,2,0,4,18,3,22,5,0,8,79,4,4,3,1,3,8,2
18,Udupi,0,3,2,1,1,5,8,32,3,19,9,0,21,105,4,3,10,1,21,3,1
19,Chikkamagaluru,5,2,0,0,2,3,4,31,6,42,5,0,25,68,15,8,13,1,6,7,6
20,Uttara Kannada,1,5,0,2,0,0,5,20,8,36,4,0,27,64,19,5,23,,11,8,7
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,4,5,0,0,1,2,10,23,17,50,9,0,63,115,17,7,57,,9,8,5
22,Bagalkot,2,9,0,1,1,2,4,23,7,7,3,0,28,41,18,7,37,1,5,6,5
23,Vijayapur,2,6,5,1,1,2,11,33,9,26,10,0,27,49,6,3,55,,2,4,3
24,Dharwad,0,2,0,0,3,1,4,11,4,9,2,0,22,29,2,5,41,,2,6,3
25,Gadag,0,2,0,0,0,1,6,22,0,4,0,0,21,13,4,5,19,1,7,0,0
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,4,1,0,1,2,7,35,19,32,5,0,27,50,8,4,2,3,1,4,2
27,Bidar,1,2,1,0,2,0,13,28,7,49,11,0,28,82,5,4,48,4,1,0,0
28,Yadgir,0,1,3,0,0,5,2,13,11,11,4,0,11,21,15,2,26,,0,3,3
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,7,6,1,0,4,2,21,27,20,63,10,0,31,122,34,4,20,1,2,15,13
30,Mandya,4,3,0,1,1,3,16,30,4,48,4,0,35,128,17,7,25,10,7,11,9
31,Chamarajanagar,0,3,1,1,3,1,12,9,3,34,2,0,19,46,16,2,5,2,2,8,7
32,Hassan,4,10,2,2,1,7,13,34,11,67,3,0,33,169,13,14,19,10,10,11,9
33,Kodagu,0,2,1,0,1,2,4,13,1,22,1,0,6,32,3,6,4,1,9,5,1
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,3,0,0,1,1,8,30,3,19,14,0,20,34,6,5,50,,11,6,4
35,Koppal,0,1,0,1,0,4,8,23,2,14,4,0,16,26,5,3,47,,2,5,3
36,Raichur,1,5,2,1,0,0,6,24,14,12,10,0,26,30,13,10,78,5,3,4,2
37,Vijayanagara,0,3,3,0,0,1,3,18,7,3,3,0,20,27,5,3,49,2,0,1,1
,Karnataka Railways,1,0,0,0,2,1,0,63,0,1,0,0,0,0,2,0,20,,0,1,0
,Total,81,225,50,30,175,106,408,1943,299,1367,237,6,1006,2777,523,206,971,211,1902,296,225
