Aadhaar eSign of FIR for the month of January 2024,,,,
Sl No,Unit_Name,FIR Registered,FIR eSign,FIR %
1,Bagalkot District,279,279,100.00
2,Belagavi District,525,525,100.00
3,Chikkamagaluru District,342,342,100.00
4,Chitradurga District,535,535,100.00
5,Dharwad District,170,170,100.00
6,Gadag District,154,154,100.00
7,Kalaburagi City,189,189,100.00
8,Koppal District,225,225,100.00
9,Udupi District,342,342,100.00
10,Vijayanagara District,207,207,100.00
11,Mysuru District,535,534,99.81
12,Bidar District,369,368,99.73
13,Kolar District,261,260,99.62
14,Dakshina Kannada District,238,237,99.58
15,Belagavi City,207,206,99.52
16,Hubballi Dharwad City,233,231,99.14
17,Ballari District,300,296,98.67
18,Mysuru City,327,318,97.25
19,K.G.F District,110,105,95.45
20,Ramanagara District,441,420,95.24
21,SP Railways,82,78,95.12
22,Chamarajanagar District,242,225,92.98
23,Yadgir District,158,139,87.97
24,Vijayapur District,349,294,84.24
25,Raichur District,340,284,83.53
26,Davanagere District,427,334,78.22
27,Mandya District,503,383,76.14
28,Mangalore COP,340,254,74.71
29,Uttara Kannada District,336,237,70.54
30,Hassan District,545,360,66.06
31,Chickballapura District,345,220,63.77
32,Tumakuru District,828,508,61.35
33,KODAGU(Madikeri) District,183,99,54.10
34,Kalaburagi District,316,143,45.25
35,Shivamogga District,574,221,38.50
36,Haveri District,352,133,37.78
37,Bengaluru District,904,295,32.63
38,Bengaluru City,5314,1475,27.76
39,Coastal Security Police,10,1,10.00
Total,,18137,11626,64.10
