Aadhaar eSign of Chargesheet for the month of January 2024,,,,
Sl No,Unit_Name,"Chargesheet
Registered","Chargesheet
eSign","Chargesheet
%"
1,Udupi District,135,130,96.30
2,Koppal District,161,154,95.65
3,Ballari District,143,135,94.41
4,Mangalore COP,248,231,93.15
5,K.G.F District,41,38,92.68
6,Gadag District,75,69,92.00
7,Hubballi Dharwad City,99,91,91.92
8,Chikkamagaluru District,202,184,91.09
9,Dakshina Kannada District,75,68,90.67
10,Chitradurga District,216,195,90.28
11,Belagavi City,85,75,88.24
12,Kalaburagi City,56,47,83.93
13,Dharwad District,85,70,82.35
14,Mysuru District,248,182,73.39
15,Bidar District,145,106,73.10
16,Belagavi District,191,131,68.59
17,Bagalkot District,61,41,67.21
18,Ramanagara District,215,143,66.51
19,Kolar District,146,94,64.38
20,Vijayanagara District,175,106,60.57
21,Raichur District,161,77,47.83
22,Davanagere District,367,171,46.59
23,Chamarajanagar District,132,55,41.67
24,Kalaburagi District,87,33,37.93
25,Uttara Kannada District,153,57,37.25
26,Vijayapur District,107,36,33.64
27,Mandya District,399,134,33.58
28,Yadgir District,114,37,32.46
29,Chickballapura District,213,63,29.58
30,Mysuru City,165,37,22.42
31,Haveri District,105,23,21.90
32,Tumakuru District,394,83,21.07
33,SP Railways,5,1,20.00
34,Hassan District,311,52,16.72
35,KODAGU(Madikeri) District,133,18,13.53
36,Shivamogga District,203,16,7.88
37,Bengaluru City,1867,91,4.87
38,Bengaluru District,285,3,1.05
39,Coastal Security Police,1,0,0.00
Total,,8004,3277,40.94
