Seva Sindhu statistics for the month of January 2024,,,,
Sl No.,Service Name,Received,Disposed,Pending
1,Job / Service Verification,34200,32806,1394
2,"Police Verification Certificate(PVC) for
Central/State Govt employees if request is
received directly by the employee / By Concerned
Department",844,786,58
3,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for
Foreign Nationals",250,246,4
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",6718,6280,438
5,"Police Verification Certificate for domestic
servants/house keeping",14,13,1
6,"Police Verification Certificate for Institutions/
Companies",90,82,8
7,Police verification Certificate for Marriage Alliances,36,34,2
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at Govt.
Institutions",3778,3534,244
9,Amplified Sound System,591,550,41
10,"Missing Report of documents, Mobile phone etc",578,127,451
11,Disposal of petitions,36,8,28
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,145,0,145
14,Complaint Registration,30,2,28
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",0,0,0
18,Permission for Peaceful Assembly and procession,0,0,0
19,"Application for Temporary License for Sale of
Crackers",0,0,0
20,"NOC for setting up of Petroleum, Diesel and
Naphtha sale and transport",1,0,1
Total,,47311,44468,2843
