MAJOR HEADS FOR THE MONTH OF FEBRUARY-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,42,7,9,81,28,65,822,5,344,61,5,77,356,116,28,37,83,1642,42,30
2,Mysuru City,2,1,1,1,1,1,6,42,0,20,0,0,11,92,3,3,1,9,20,8,7
3,Hubballi Dharwad City,6,2,3,0,3,3,6,15,2,15,12,0,1,25,4,4,18,,24,4,4
4,Mangaluru City,0,4,1,0,1,1,2,11,2,17,1,0,14,81,4,1,15,4,8,4,1
5,Belagavi City,0,4,0,0,1,1,7,16,9,11,8,0,10,39,1,3,8,,5,2,0
6,Kalaburagi City,2,2,0,0,5,0,9,23,6,18,12,0,6,35,6,2,19,5,1,4,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,7,22,3,1,14,7,18,128,17,54,10,0,48,173,14,8,15,,82,6,2
8,Ramanagara,1,5,0,1,2,4,13,36,5,47,3,0,30,91,8,3,6,1,8,8,6
9,Tumakuru,5,7,2,1,15,3,16,61,5,67,4,2,49,166,37,14,28,7,28,11,7
10,Kolar,2,3,0,0,2,1,1,26,11,18,0,0,12,37,14,2,5,2,8,10,6
11,Chickballapura,4,10,2,1,4,2,4,34,6,36,4,0,29,44,9,0,19,1,28,12,10
12,K.G.F,2,3,0,0,1,2,5,6,2,20,0,1,9,14,2,1,,,6,3,3
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,3,5,0,0,3,2,5,31,17,55,5,1,33,97,23,6,33,4,6,10,7
14,Davanagere,2,9,2,0,3,1,10,48,15,20,9,0,33,66,16,4,36,3,11,5,2
15,Shivamogga,0,14,1,3,1,7,13,25,15,65,14,1,23,109,21,4,60,9,12,11,9
16,Haveri,7,3,0,1,0,3,12,48,14,23,4,0,19,70,12,4,93,5,7,8,6
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,0,0,1,0,0,2,24,4,16,5,0,17,71,3,2,,,4,5,1
18,Udupi,0,2,0,2,2,1,7,32,2,27,4,0,19,89,8,5,16,,20,3,3
19,Chikkamagaluru,2,6,0,2,2,2,6,17,5,47,6,0,21,65,11,5,16,1,10,12,8
20,Uttara Kannada,2,3,1,0,0,1,6,24,6,45,2,0,25,57,20,8,34,2,4,5,3
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,7,4,0,2,3,13,35,15,50,15,0,74,123,22,6,38,1,6,9,6
22,Bagalkot,2,5,0,0,0,0,5,30,10,16,6,0,37,57,18,11,32,2,0,3,3
23,Vijayapur,8,16,1,0,1,2,17,40,10,33,8,0,39,39,18,4,61,,4,4,2
24,Dharwad,4,3,1,0,1,1,3,9,0,2,1,1,15,18,6,1,15,1,6,3,3
25,Gadag,0,3,2,0,3,4,4,11,2,4,5,0,5,16,5,4,28,,7,2,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,4,7,2,0,0,1,12,31,12,20,7,0,27,48,9,6,35,1,0,4,3
27,Bidar,3,3,1,1,0,2,16,30,9,48,18,0,27,60,9,1,36,1,4,3,1
28,Yadgir,4,3,0,0,0,2,3,9,14,10,3,0,18,20,9,3,35,1,3,2,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,2,5,0,0,8,2,11,39,14,66,19,0,35,128,28,1,12,,1,14,13
30,Mandya,2,7,0,0,4,3,7,32,3,51,9,0,46,132,20,4,25,1,6,16,13
31,Chamarajanagar,2,2,2,0,2,0,6,13,4,37,1,0,21,39,13,4,5,1,4,8,6
32,Hassan,3,9,1,2,8,5,8,51,6,75,7,2,52,168,21,8,10,5,9,13,10
33,Kodagu,3,4,0,0,0,2,4,14,0,27,2,0,6,41,5,17,7,1,6,6,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,9,1,1,0,0,10,44,6,22,9,0,14,39,5,5,40,1,10,0,0
35,Koppal,0,4,1,0,1,3,7,20,6,6,5,0,21,40,3,10,52,,2,5,3
36,Raichur,4,3,1,0,1,0,7,54,19,19,9,0,22,39,15,7,53,3,1,5,3
37,Vijayanagara,0,5,0,0,1,0,2,27,10,12,6,0,15,46,7,5,31,,0,9,8
,Karnataka Railways,4,0,0,0,4,0,0,52,0,1,0,0,1,0,0,0,,,0,0,0
Total,,112,242,40,27,177,100,348,2010,288,1464,294,13,961,2830,545,204,974,155,2003,279,199
