MAJOR HEADS FOR THE YEAR 2024 (UPTO FEBRUARY),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES OF
HURT","CRUELTY BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLESTA-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,25,89,19,18,174,42,130,1684,18,634,117,7,170,695,203,50,67,180,3151,80,57
2,Mysuru City,3,2,3,1,5,1,17,65,2,47,1,1,27,180,9,5,3,28,50,15,12
3,Hubballi Dharwad City,7,5,3,0,4,5,13,37,7,31,17,0,10,69,7,9,123,,47,5,5
4,Mangaluru City,2,8,2,0,3,2,3,27,3,29,1,0,26,149,13,3,30,10,20,8,4
5,Belagavi City,1,8,1,0,3,4,24,34,11,29,12,0,28,74,5,4,19,,16,4,1
6,Kalaburagi City,2,5,1,0,8,2,14,42,10,31,14,0,20,59,9,7,83,10,7,5,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,10,35,4,3,24,20,41,259,27,106,19,0,112,325,33,20,21,7,175,17,9
8,Ramanagara,8,9,0,3,5,7,21,75,10,90,9,1,58,188,21,8,19,5,17,23,20
9,Tumakuru,9,25,4,4,25,11,43,138,8,131,8,2,115,320,72,20,57,16,48,31,26
10,Kolar,2,8,0,0,8,5,10,44,23,44,1,1,36,84,19,8,14,2,13,21,15
11,Chickballapura,5,12,4,1,8,4,13,55,9,70,7,1,60,87,17,6,46,1,50,30,26
12,K.G.F,3,9,2,0,1,3,13,13,2,30,0,1,12,31,5,1,34,2,18,7,6
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,8,16,0,0,3,2,22,64,31,114,15,1,75,202,58,11,71,7,15,21,15
14,Davanagere,5,17,2,1,10,3,22,75,35,42,13,0,58,138,33,9,5,9,22,15,10
15,Shivamogga,2,27,3,5,3,11,26,54,29,127,23,1,63,202,53,14,88,17,21,29,26
16,Haveri,9,7,2,1,1,4,21,89,46,53,8,0,45,120,26,9,23,7,15,18,15
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,2,0,1,2,0,6,42,8,36,10,0,27,148,7,6,5,1,7,13,3
18,Udupi,0,5,2,3,3,6,15,64,5,46,11,0,40,194,12,8,26,3,41,6,4
19,Chikkamagaluru,8,8,0,2,4,5,10,48,11,88,11,0,46,133,26,13,29,2,16,20,15
20,Uttara Kannada,3,8,1,2,0,1,11,44,14,81,6,0,53,120,39,13,57,2,15,13,10
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,10,11,4,0,3,5,23,58,33,97,24,0,141,235,39,14,95,1,15,19,13
22,Bagalkot,4,13,0,1,1,2,9,53,17,23,9,0,66,97,36,18,69,3,5,9,8
23,Vijayapur,10,22,6,1,2,3,26,76,19,59,18,0,68,86,24,7,116,,6,11,8
24,Dharwad,4,5,1,0,4,2,7,20,4,11,3,1,38,46,8,6,77,1,8,9,6
25,Gadag,0,5,2,0,3,5,10,33,2,8,5,0,29,26,9,9,34,1,14,2,2
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,7,10,3,0,1,3,19,66,31,53,12,0,55,97,17,10,2,4,1,10,7
27,Bidar,4,5,3,1,2,2,29,58,16,97,29,0,56,141,14,4,84,5,5,5,3
28,Yadgir,4,4,3,0,0,7,5,22,25,21,7,0,29,41,24,5,61,1,3,7,7
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,9,11,1,0,12,4,32,66,33,130,29,0,69,247,62,5,32,1,3,29,27
30,Mandya,6,10,0,1,5,6,23,62,7,99,13,0,83,259,37,11,50,11,13,27,22
31,Chamarajanagar,2,5,3,1,5,1,18,22,7,71,3,0,40,85,29,6,10,3,6,16,13
32,Hassan,8,18,3,4,9,12,21,85,15,145,11,2,86,336,34,23,47,14,19,26,21
33,Kodagu,3,6,1,0,1,4,8,27,1,49,3,0,12,73,8,23,11,2,15,11,6
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,2,12,1,1,1,1,18,74,9,41,23,0,35,72,11,10,90,1,21,7,4
35,Koppal,0,5,1,1,1,7,15,43,8,20,9,0,37,66,8,13,99,,4,10,7
36,Raichur,5,8,3,1,1,0,13,78,33,31,19,0,49,68,28,16,131,8,4,12,8
37,Vijayanagara,0,8,3,0,1,1,5,45,17,15,9,0,35,73,12,8,80,2,0,10,9
,Karnataka Railways,5,0,0,0,6,1,0,115,0,2,0,0,1,0,2,0,39,,0,1,0
Total,,195,463,91,57,352,204,756,3956,586,2831,529,19,2010,5566,1069,412,1947,367,3906,602,451
