"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,,,
Unitwise - Month wise Report on Receipts & Disposals - February - 2024,,,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise details
of received, disposed and overdue status of services for February 2024 as on 29.02.2024 are as under.",,,,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 29.02.2024",,
1,Bengaluru City,35645,37306,72,,
2,Belagavi City,3197,2923,238,,
3,Hubli-Dharwad City,1463,1764,255,,
4,Mysore City,4274,3897,71,,
5,Mangalore City,3948,3974,130,,
6,Bagalkot,1686,1803,4,,
7,Ballari,1309,1423,35,,
8,Belagavi,1544,1521,25,,
9,Bengaluru Rural,2734,2408,95,,
10,Bidar,1266,1181,0,,
11,Chamarajanagar,1435,1443,30,,
12,Chikkaballapura,1980,2204,2,,
13,Chikkamagaluru,2209,2192,3,,
14,Chitradurga,1704,1825,10,,
15,Dakshina Kannada,934,926,1,EEExxxppitoo,rrtt ttoo PExDcFel
16,Davanagere,2067,1978,2,,
17,Dharwad,1221,1296,195,,
18,Gadag,720,757,4,,
19,Hassan,2868,2628,0,,
20,Haveri,1623,1607,6,,
21,Kalaburagi,1154,1155,11,,
22,Kodagu,1104,1069,14,,
23,Kolar,778,731,51,,
24,KGF,1025,1192,6,,
25,Koppal,832,895,0,,
26,Mandya,2713,2694,25,,
27,Mysuru,2238,1838,25,,
28,Raichur,751,823,26,,
29,Ramanagara,2558,2166,7,,
30,Shivamogga,2744,2715,46,,
31,Tumakuru,3762,3856,19,,
32,Udupi,2281,2443,0,,
33,Uttara Kannada,2968,3008,4,,
34,VijayaNagara,884,1091,17,EEExxxppitoo,rrtt ttoo PExDcFel
35,Vijayapura,2127,2384,13,,
36,Yadgir,505,509,2,,
,Total,102251,103625,1444,,
