"Sl
No",Unit_Name,"Chargesheet
Submitted","Chargesheet
eSign","Chargesheet
%"
1,Belagavi City,95,95,100.00
2,Mysuru City,159,158,99.37
3,Mangalore COP,183,181,98.91
4,Mysuru District,262,259,98.85
5,Gadag District,80,79,98.75
6,Koppal District,135,133,98.52
7,Belagavi District,191,187,97.91
8,Dharwad District,78,76,97.44
9,Bengaluru District,307,299,97.39
10,Chikkamagaluru District,232,225,96.98
11,Mandya District,262,250,95.42
12,Chitradurga District,211,199,94.31
13,Yadgir District,100,94,94.00
14,Ballari District,183,166,90.71
15,Udupi District,163,144,88.34
16,Raichur District,168,144,85.71
17,Bidar District,163,138,84.66
18,Chamarajanagar District,180,150,83.33
19,Vijayanagara District,139,115,82.73
20,Bagalkot District,80,66,82.50
21,Hubballi Dharwad City,106,87,82.08
22,K.G.F District,56,42,75.00
23,Dakshina Kannada District,94,69,73.40
24,Shivamogga District,334,244,73.05
25,Hassan District,270,192,71.11
26,KODAGU(Madikeri) District,134,88,65.67
27,Tumakuru District,355,233,65.63
28,Davanagere District,352,230,65.34
29,Haveri District,133,86,64.66
30,Bengaluru City,2150,1199,55.77
31,Vijayapur District,174,96,55.17
32,Coastal Security Police,2,1,50.00
33,SP Railways,2,1,50.00
34,Kolar District,158,75,47.47
35,Kalaburagi City,42,19,45.24
36,Kalaburagi District,91,37,40.66
37,Chickballapura District,178,63,35.39
38,Ramanagara District,144,48,33.33
39,Uttara Kannada District,128,41,32.03
Total,,8274,6009,72.63
