"Unitwise Statistics of cases Booked under COTPA Act 2003 for the month of
February- 2024",,,,,,,
"Sl.
No.",Unit / District,Section 4,Section 5,Section 6A,Section 6B,Section7,"Total Fine
Amount"
(1),(2),(3),(4),(5),(6),(7),(8)
I,Commissionerate,,,,,,
1,Bengaluru City,3143,0,8,14,5,483850
2,Mysuru City,163,0,0,0,0,24100
3,Hubli-Dharwad City,61,0,0,0,0,7150
4,Mangaluru City,123,0,0,0,0,7530
5,Belagavi City,399,0,0,0,0,31000
6,Kalburgi City,2,0,0,0,0,800
II,Central Range,,,,,,
1,Bengaluru Dist.,248,0,0,0,0,23300
2,K.G.F.,302,0,0,2,0,28800
3,Kolar,52,0,0,0,0,15850
4,Tumakuru,74,0,0,0,0,9400
5,Chickballapura,172,0,0,0,0,7550
6,Ramanagara,270,0,0,0,0,39400
III,Eastern Range,,,,,,
1,Chitradurga,171,0,0,0,0,15550
2,Davanagere,351,0,0,0,0,34800
3,Shivamogga,302,0,0,2,0,28800
4,Haveri,104,0,0,0,0,9200
IV,Western Range,,,,,,
1,Chickmagalur,75,0,0,0,0,7900
2,D.K.,90,0,0,0,0,8000
3,Udupi,88,0,0,0,0,10400
4,U.K.,165,0,0,0,0,13850
V,Northern Range,,,,,,
1,Bagalakote,244,0,0,0,0,25700
2,Belagavi dist.,38,0,0,0,0,3800
3,Vijayapura,6,0,0,0,0,600
4,Dharwad,104,0,0,0,0,9250
5,Gadag,174,0,0,0,0,16600
VI,North Eastern Range,,,,,,
1,Bidar,38,0,0,10,0,5800
2,Kaburgi,115,0,0,0,0,12700
3,Yadgiri,143,0,0,0,0,14200
VII,Southern Range,,,,,,
1,Chamarajanagar,267,0,0,0,0,18050
2,Hassan,369,0,0,0,0,29500
3,Kodagu,104,0,0,0,0,10000
4,Mandya,367,0,0,0,0,29450
5,Mysuru Dist.,0,0,0,0,0,0
VIII,Ballari Range,,,,,,
1,Ballari,,0,0,0,0,
2,Vijayanagara,127,0,0,0,0,13100
3,Koppal,158,0,0,0,0,15900
4,Raichur,798,0,0,0,0,93550
IX,Karnataka Railways,37,0,0,0,0,4000
Total,,9444,0,8,28,5,1109430
