MAJOR HEADS FOR THE MONTH OF JANUARY-2026,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,"SNAT-
CHING",RIOTS,"CASES OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLE
STA-
TION",SC/ST,"GAMBLI
NG","DP
ACT","CYBER CRIME
(INFORMATION
TECHNOLOGY
ACT)","POCSO
RAPE","POCSO
OTHERS"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,13,52,8,1,30,15,50,649,33,6,304,52,4,95,389,97,19,26,82,861,25,20
2,Mysuru City,1,3,0,0,2,0,4,28,0,0,22,3,0,11,66,4,1,1,9,21,1,0
3,Hubballi Dharwad City,3,16,1,0,1,1,7,17,3,0,14,7,0,14,26,1,3,22,0,16,4,2
4,Mangaluru City,0,2,1,0,0,0,5,19,0,0,17,2,0,11,91,5,1,6,0,7,1,3
5,Belagavi City,0,9,0,0,0,0,14,20,1,4,11,10,0,17,30,2,0,22,0,12,2,1
6,Kalaburagi City,1,1,0,1,1,1,12,13,0,1,14,1,0,9,48,4,1,43,2,8,1,0
,Central Range,,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,8,6,2,0,7,7,29,76,2,7,46,11,2,57,145,11,11,10,3,31,3,6
8,Bengaluru South,2,6,1,0,1,1,9,32,0,6,32,0,0,32,94,14,4,6,3,18,5,3
9,Tumakuru,3,6,1,0,0,0,13,44,0,5,60,5,1,51,173,39,14,46,4,24,5,4
10,Kolar,4,4,1,0,2,1,6,16,0,13,23,3,0,26,39,7,2,4,0,7,3,0
11,Chickballapura,2,3,0,0,0,3,10,17,0,13,32,2,0,25,57,9,6,39,0,23,19,1
12,K.G.F,0,0,0,1,0,2,3,10,0,1,17,0,0,6,13,1,0,2,1,5,2,0
,Eastern Range,,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,5,3,2,0,1,1,4,35,0,30,52,7,0,43,95,33,5,35,1,9,8,4
14,Davanagere,2,12,2,0,1,0,10,38,0,24,28,7,1,26,69,19,8,60,1,6,4,1
15,Shivamogga,2,18,2,0,2,1,7,50,0,18,90,8,0,32,93,20,20,37,10,19,16,6
16,Haveri,2,6,1,1,0,0,7,45,0,19,13,3,1,26,42,8,4,22,2,11,6,3
,Western Range,,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,2,3,0,0,0,1,4,15,0,6,19,2,0,8,70,3,4,5,0,7,3,1
18,Udupi,0,4,2,0,0,0,4,16,0,1,9,2,0,21,89,6,4,6,0,18,4,3
19,Chikkamagaluru,4,6,2,0,1,3,5,18,0,4,54,7,0,15,68,11,4,12,0,8,6,5
20,Uttara Kannada,3,4,0,0,1,3,8,22,0,6,40,3,0,21,55,16,4,63,0,10,4,2
,Northern Range,,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,6,17,4,0,2,3,19,78,0,45,96,30,0,66,143,36,14,57,5,14,18,3
22,Bagalkot,3,9,1,1,1,6,13,20,0,4,12,2,0,39,48,8,4,27,1,2,7,1
23,Vijayapur,5,2,1,0,2,4,6,28,0,13,32,10,0,43,50,4,7,30,1,33,4,2
24,Dharwad,2,1,1,0,0,2,2,8,0,2,8,1,0,20,22,1,5,11,0,5,2,0
25,Gadag,0,1,1,0,0,2,2,7,0,12,7,3,0,13,20,7,3,41,1,9,5,1
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,11,1,0,1,4,15,31,0,13,38,1,0,21,56,7,6,37,2,1,5,3
27,Bidar,1,8,0,0,0,1,5,21,0,10,38,9,0,24,54,3,3,28,3,2,0,1
28,Yadgir,0,4,0,0,0,1,7,25,0,12,13,6,0,10,21,8,4,42,0,1,4,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,4,1,0,4,3,20,31,0,6,74,6,0,43,176,16,5,29,0,7,10,2
30,Mandya,3,6,3,0,0,3,17,27,0,4,58,4,0,43,194,11,10,37,2,10,4,5
31,Chamarajanagar,1,8,1,1,0,2,3,13,0,2,26,1,0,15,51,10,5,11,3,1,1,1
32,Hassan,5,9,2,0,0,6,15,30,0,1,65,8,2,41,126,22,6,20,2,8,12,2
33,Kodagu,2,4,0,0,1,1,1,10,0,0,29,2,0,7,27,1,3,4,0,16,5,0
,Ballari Range,,,,,,,,,,,,,,,,,,,,,,
34,Ballari,1,7,0,0,1,3,4,37,0,8,13,14,0,10,21,5,6,54,1,13,3,2
35,Koppal,0,3,2,0,0,2,7,15,0,1,10,3,0,28,37,11,6,47,0,3,3,2
36,Raichur,4,8,1,0,0,1,6,107,0,12,9,10,0,23,32,18,15,92,3,4,5,2
37,Vijayanagara,1,15,0,0,1,1,3,13,0,10,12,11,0,19,34,5,4,59,1,8,7,4
38,Karnataka Railways,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,Total,98,281,45,6,63,85,356,1703,39,319,1437,256,11,1011,2864,483,222,1093,143,1258,218,98
