SL.No,Unit_Name,"FIR
Registered",FIR eSign,Percentage
1,Vijayapur District,427,413,96.72
2,Chitradurga District,530,502,94.72
3,Bagalkot District,294,276,93.88
4,Kalaburagi City,238,220,92.44
5,Yadgir District,243,213,87.65
6,K.G.F District,104,90,86.54
7,Koppal District,280,242,86.43
8,Chikkamagaluru District,353,304,86.12
9,Dharwad District,156,134,85.90
10,Ballari District,306,257,83.99
11,SP Railways,48,40,83.33
12,Mandya District,599,436,72.79
13,Uttara Kannada District,431,308,71.46
14,Mysuru City,345,230,66.67
15,Udupi District,252,122,48.41
16,Bengaluru South District,392,172,43.88
17,Raichur District,508,219,43.11
18,Tumakuru District,736,305,41.44
19,Belagavi City,260,99,38.08
20,Belagavi District,1090,407,37.34
21,Vijayanagara District,313,116,37.06
22,Hubballi Dharwad City,240,84,35.00
23,Dakshina Kannada District,220,75,34.09
24,Kolar District,265,62,23.40
25,Hassan District,617,118,19.12
26,Bengaluru City,5475,1007,18.39
27,Bengaluru District,586,106,18.09
28,Gadag District,220,36,16.36
29,Mysuru District,608,88,14.47
30,Haveri District,320,45,14.06
31,Chickballapura District,380,40,10.53
32,Chamarajanagar District,249,13,5.22
33,Bidar District,310,14,4.52
34,Mangalore COP,296,11,3.72
35,Kalaburagi District,324,12,3.70
36,Shivamogga District,650,7,1.08
37,KODAGU District,293,3,1.02
38,Davanagere District,536,4,0.75
Total,,19503,6830,35.02
