MAJOR HEADS FOR THE MONTH MARCH-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,17,37,7,9,87,14,71,903,6,406,68,0,71,348,143,20,55,73,1530,46,29
2,Mysuru City,2,3,0,0,3,0,3,35,2,33,2,0,15,84,4,3,8,8,27,2,1
3,"Hubballi Dharwad
City",2,3,2,0,1,2,3,26,2,17,10,0,8,28,8,3,55,,23,1,1
4,Mangaluru City,1,4,2,0,0,0,0,22,2,9,5,0,15,64,9,1,11,3,14,4,2
5,Belagavi City,2,4,2,0,4,1,6,30,6,21,5,0,8,25,7,5,21,,10,1,1
6,Kalaburagi City,3,0,0,1,3,3,6,17,5,19,15,0,8,23,2,2,53,,1,0,0
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,6,15,1,7,5,7,13,123,13,47,14,0,50,175,17,7,13,2,71,16,12
8,Ramanagara,2,7,1,1,5,3,4,42,5,39,8,0,40,127,24,11,11,4,25,9,5
9,Tumakuru,4,5,6,1,15,3,16,46,11,69,6,0,56,170,20,13,42,8,26,9,9
10,Kolar,1,6,0,0,3,1,4,16,8,35,4,0,21,42,7,3,7,3,7,4,3
11,Chickballapura,4,1,1,1,0,1,5,27,11,41,6,0,25,55,10,5,41,1,9,12,11
12,K.G.F,1,0,1,0,0,0,5,4,0,16,2,0,8,7,4,1,39,3,6,4,4
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,9,4,0,3,1,5,40,17,65,14,0,36,107,41,2,30,7,7,12,7
14,Davanagere,3,9,0,1,4,5,5,39,26,33,9,1,26,63,21,7,1,3,18,13,9
15,Shivamogga,5,16,1,2,4,2,4,33,13,79,6,1,28,102,33,10,31,11,10,13,9
16,Haveri,2,11,2,2,0,1,13,56,25,24,5,0,23,45,6,10,12,1,5,8,8
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,4,1,0,3,0,6,36,5,18,1,0,18,74,11,1,5,,7,6,4
18,Udupi,2,3,3,0,3,1,5,37,6,25,4,0,19,101,7,9,13,,25,3,3
19,Chikkamagaluru,0,3,0,0,0,3,5,17,0,35,8,0,16,74,18,4,10,1,9,5,4
20,Uttara Kannada,3,12,3,0,4,0,4,18,8,36,8,0,20,53,20,7,24,1,21,9,5
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,4,13,1,1,3,3,7,63,26,48,11,1,54,104,24,8,81,1,5,10,7
22,Bagalkot,3,11,0,0,2,2,5,20,4,9,2,0,30,52,15,4,37,4,4,3,3
23,Vijayapur,3,10,2,0,0,4,4,32,13,47,9,1,31,48,11,15,66,,6,11,8
24,Dharwad,4,1,1,0,1,2,5,9,7,12,4,0,17,27,3,6,35,,4,2,2
25,Gadag,2,3,0,0,0,2,4,11,5,7,1,1,12,17,6,0,17,,9,3,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,3,8,2,0,2,0,9,56,16,30,10,0,25,52,4,4,4,2,4,7,3
27,Bidar,2,1,0,0,1,2,11,23,11,70,17,0,16,58,7,2,46,1,1,1,1
28,Yadgir,3,6,2,0,0,0,3,18,16,16,4,0,6,27,8,5,18,,3,4,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,2,4,2,0,3,2,20,33,14,90,10,0,36,138,24,3,17,,5,7,5
30,Mandya,1,8,0,0,3,2,16,30,5,51,5,1,34,130,29,6,25,1,4,8,6
31,Chamarajanagar,2,2,0,0,2,0,3,11,4,22,1,1,14,47,21,1,13,1,2,7,4
32,Hassan,4,15,3,0,8,4,13,31,12,76,11,0,47,161,29,8,33,4,17,9,7
33,Kodagu,1,2,0,0,0,7,2,8,0,29,1,0,7,34,5,2,5,1,5,7,7
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,3,6,0,0,1,1,9,36,5,22,6,0,24,31,6,3,70,,10,6,3
35,Koppal,2,2,0,2,1,0,9,22,1,10,5,0,19,28,5,4,40,,0,4,3
36,Raichur,3,7,1,0,1,1,8,61,12,19,18,0,27,34,15,8,80,3,0,3,2
37,Vijayanagara,2,3,1,0,1,0,5,31,9,15,4,0,19,37,16,2,38,,8,6,5
,Karnataka Railways,0,0,0,1,4,0,0,68,0,3,0,0,0,0,0,0,20,,0,2,0
Total,,106,254,52,29,180,80,316,2130,331,1643,319,7,929,2792,640,205,1127,147,1938,277,198
