MAJOR HEADS FOR THE YEAR 2024 (UPTO MARCH),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
A-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,42,126,26,28,261,56,203,2585,26,1040,185,7,242,1039,347,68,55,253,4681,136,91
2,Mysuru City,5,5,3,1,8,0,20,101,4,80,3,1,42,266,13,8,8,36,77,17,13
3,"Hubballi Dharwad
City",9,8,5,0,5,7,16,63,9,48,27,0,18,97,15,12,55,,70,6,6
4,Mangaluru City,3,12,4,0,3,2,5,47,5,35,6,0,41,213,25,4,11,13,34,12,6
5,Belagavi City,3,12,3,0,7,5,30,64,18,49,17,0,39,96,13,8,21,,26,6,3
6,Kalaburagi City,5,5,1,1,11,5,20,59,15,50,29,0,28,82,11,9,53,10,8,5,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,16,50,5,10,29,27,55,381,40,152,33,0,164,498,50,28,13,9,246,34,25
8,Ramanagara,10,16,1,4,10,10,25,117,15,129,17,1,102,311,45,19,11,9,42,32,25
9,Tumakuru,12,30,10,5,40,14,59,184,19,200,14,2,174,487,92,33,42,24,74,42,36
10,Kolar,3,14,0,0,11,6,14,60,31,78,5,1,58,125,26,11,7,5,20,25,18
11,Chickballapura,9,13,5,2,7,5,18,82,20,111,13,1,87,140,27,11,41,2,59,43,38
12,K.G.F,4,9,3,0,1,3,18,17,2,44,2,1,20,38,9,2,39,6,24,12,11
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,9,25,4,0,6,3,27,104,48,179,29,1,114,306,99,13,30,14,22,35,23
14,Davanagere,7,26,2,2,14,8,27,114,60,75,22,2,84,202,54,17,1,12,40,29,19
15,Shivamogga,7,44,4,7,7,13,30,87,42,205,26,2,91,304,86,23,31,31,31,44,37
16,Haveri,11,18,4,3,1,5,34,145,71,77,13,0,70,163,32,19,12,8,20,26,23
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,6,1,1,5,0,12,78,13,53,11,0,46,221,19,7,5,1,14,19,7
18,Udupi,2,8,5,3,5,7,20,101,12,71,15,0,59,295,18,18,13,3,66,9,7
19,Chikkamagaluru,8,11,0,2,4,8,15,65,11,122,19,0,63,206,44,17,10,3,25,25,19
20,Uttara Kannada,6,18,5,2,4,1,15,62,22,118,14,0,74,172,59,20,24,3,36,22,15
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,14,25,5,1,6,8,31,120,59,144,35,1,200,334,63,22,81,2,20,30,21
22,Bagalkot,7,22,0,1,3,4,14,73,21,32,11,0,101,144,52,24,37,7,9,13,12
23,Vijayapur,13,31,8,1,2,7,30,108,34,106,27,1,100,133,33,23,66,,12,25,19
24,Dharwad,8,6,2,0,5,3,13,30,11,23,7,1,56,72,11,12,35,1,12,11,8
25,Gadag,2,8,2,0,3,7,14,43,8,16,5,1,43,42,15,9,17,2,23,5,5
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,11,18,5,0,3,2,29,122,47,82,22,0,80,149,21,14,4,6,5,17,10
27,Bidar,9,6,3,1,3,4,40,81,27,165,46,0,73,198,21,6,46,6,6,6,4
28,Yadgir,7,10,5,0,0,7,8,40,41,37,11,0,36,67,32,10,18,1,6,14,12
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,11,16,4,0,15,6,52,100,46,226,38,0,106,387,85,8,17,1,8,36,33
30,Mandya,7,18,0,1,8,8,39,92,12,150,18,1,119,388,66,18,25,12,17,36,29
31,Chamarajanagar,4,7,3,1,7,1,21,33,11,93,4,1,55,132,50,7,13,4,8,23,17
32,Hassan,12,33,6,4,17,16,34,116,26,222,21,2,134,497,62,30,33,19,36,38,30
33,Kodagu,4,8,1,0,1,12,9,33,1,78,4,0,20,106,13,25,5,3,20,19,14
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,6,17,1,1,2,2,27,110,14,63,29,0,59,103,17,13,70,1,31,13,7
35,Koppal,2,7,2,3,2,7,24,65,9,30,14,0,59,91,13,17,40,,4,14,10
36,Raichur,8,15,4,1,2,1,22,138,45,50,37,0,79,99,43,24,80,11,4,17,12
37,Vijayanagara,2,11,4,0,2,1,11,75,25,30,13,0,54,101,29,10,38,2,8,16,14
,Karnataka Railways,5,0,0,1,10,1,0,183,0,5,0,0,1,0,2,0,20,,0,4,1
Total,,304,714,146,87,530,282,1081,6078,920,4468,842,27,2991,8304,1712,619,1127,520,5844,916,681
