MAJOR HEADS FOR THE MONTH OF APRIL-2024,,,,,,,,,,,,,,,,,,,,,,
Sl.NO,District Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLES-
TATION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,19,44,17,4,77,14,74,763,7,371,42,1,66,288,128,22,81,75,1279,43,24
2,Mysuru City,1,7,0,0,5,1,2,27,1,31,3,0,10,65,8,4,7,8,27,4,3
3,Hubballi Dharwad City,2,3,0,0,1,2,5,15,2,17,10,0,9,26,5,6,43,0,17,4,4
4,Mangaluru City,0,6,1,0,1,3,1,17,0,16,1,0,16,73,1,2,5,3,9,11,4
5,Belagavi City,1,7,0,0,3,0,4,19,2,19,4,0,16,46,7,2,14,0,7,4,3
6,Kalaburagi City,3,4,0,1,3,0,2,34,5,16,5,0,3,34,7,3,25,4,0,1,0
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,4,18,3,2,4,8,20,108,9,59,10,0,64,151,21,11,30,3,43,12,7
8,Ramanagara,5,8,1,3,4,2,11,42,5,65,4,0,33,132,18,5,12,2,19,11,9
9,Tumakuru,5,14,1,1,6,5,17,55,7,79,4,1,63,171,30,3,93,10,21,8,5
10,Kolar,2,8,0,0,1,1,5,12,14,40,2,0,25,47,4,5,8,1,6,9,9
11,Chickballapura,5,2,1,0,1,8,7,16,16,55,1,1,25,49,9,2,41,1,12,13,11
12,K.G.F,0,1,0,0,0,0,3,5,2,13,1,0,1,12,3,0,43,1,10,8,8
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,1,10,1,0,7,1,7,35,26,60,16,2,35,126,54,3,176,3,4,6,4
14,Davanagere,4,13,2,1,4,3,11,30,17,29,6,0,29,75,24,9,1,7,4,4,1
15,Shivamogga,4,12,1,2,9,1,11,32,21,66,8,0,34,118,25,10,38,1,5,21,19
16,Haveri,4,7,2,0,2,3,9,23,15,16,1,0,29,38,10,2,23,0,10,8,7
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,0,7,0,0,3,2,3,12,0,20,2,0,14,75,1,2,2,0,7,11,5
18,Udupi,0,1,1,0,3,0,2,18,4,26,3,0,21,96,6,3,5,0,10,4,2
19,Chikkamagaluru,4,1,0,0,0,1,7,21,8,47,6,0,30,74,18,7,16,1,9,5,4
20,Uttara Kannada,2,6,1,0,3,2,9,14,8,24,5,0,23,63,18,4,11,0,4,7,4
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,5,10,1,0,0,3,14,34,19,37,14,0,44,116,14,7,49,1,7,6,4
22,Bagalkot,5,7,1,1,1,1,2,20,2,14,2,0,26,42,14,5,32,3,4,3,2
23,Vijayapur,5,6,3,0,1,1,5,27,15,21,4,0,31,46,11,4,30,1,5,8,5
24,Dharwad,3,0,0,0,1,0,2,9,8,12,2,0,26,27,0,3,55,0,7,2,1
25,Gadag,0,4,1,1,0,1,0,13,10,10,3,0,6,19,8,3,13,1,7,3,3
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,2,3,2,0,2,3,8,48,12,21,4,0,22,49,7,8,1,4,1,2,2
27,Bidar,0,7,2,0,2,1,8,21,21,36,5,1,31,61,9,3,38,1,4,4,2
28,Yadgir,4,3,1,0,0,0,5,12,11,16,3,0,10,39,15,5,14,0,0,2,2
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,5,6,1,0,0,2,9,31,23,85,5,0,40,127,30,4,16,0,2,6,4
30,Mandya,7,7,0,1,1,5,6,28,3,61,8,1,53,144,19,0,31,2,4,13,9
31,Chamarajanagar,0,7,0,0,0,0,7,8,7,36,2,0,18,42,16,6,13,1,1,6,4
32,Hassan,6,16,3,0,0,2,6,29,11,100,10,1,44,147,37,8,20,4,9,5,4
33,Kodagu,4,6,0,1,1,1,9,11,0,30,3,0,7,46,5,1,4,0,7,6,5
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,0,2,0,0,0,0,8,31,17,14,5,0,20,24,11,4,52,0,8,5,3
35,Koppal,3,2,1,0,0,1,9,17,5,9,3,0,17,43,8,7,32,0,3,8,6
36,Raichur,4,6,1,0,1,0,3,42,11,17,8,0,27,34,11,9,77,3,1,5,5
37,Vijayanagara,0,9,0,0,0,0,4,16,8,17,6,0,9,35,4,4,43,0,1,4,1
,Karnataka Railways,2,0,0,0,5,0,0,72,0,2,0,0,0,0,0,0,6,0,0,0,0
Total,,121,280,49,18,152,78,315,1767,352,1607,221,8,977,2800,616,186,1200,141,1574,282,195
