MAJOR HEADS FOR THE YEAR 2024 (UPTO APRIL),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
A-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,60,172,43,32,339,70,277,3348,33,1409,226,8,306,1326,476,89,203,329,5960,186,120
2,Mysuru City,6,12,3,1,13,1,22,128,5,111,6,1,52,331,21,12,18,44,104,22,17
3,Hubballi Dharwad City,11,11,5,0,7,9,21,77,11,65,37,0,28,122,20,18,221,0,87,11,11
4,Mangaluru City,3,18,5,0,4,5,6,64,5,49,7,0,58,285,28,6,46,16,43,23,10
5,Belagavi City,4,19,3,0,10,5,34,83,22,66,21,0,56,141,20,10,54,0,33,10,6
6,Kalaburagi City,8,9,1,2,14,5,22,93,20,66,34,0,31,116,18,12,161,14,8,6,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,20,68,8,12,33,35,75,489,49,211,44,0,230,647,71,39,64,11,289,47,32
8,Ramanagara,16,24,2,7,14,12,37,159,20,194,20,1,137,441,63,24,42,12,61,44,36
9,Tumakuru,17,44,11,6,46,19,76,239,26,279,18,3,242,653,123,36,192,34,95,53,43
10,Kolar,5,22,0,0,12,7,19,72,45,118,7,1,83,171,30,16,29,6,26,37,30
11,Chickballapura,14,16,7,2,8,13,25,98,36,166,14,2,112,189,36,12,128,3,71,57,50
12,K.G.F,4,10,2,0,1,3,21,23,4,57,3,1,21,50,12,3,116,7,34,21,20
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,10,35,5,0,13,4,34,139,74,239,44,3,151,430,153,16,277,18,26,42,28
14,Davanagere,11,40,4,3,18,11,38,144,77,107,27,2,113,277,75,27,7,19,44,34,22
15,Shivamogga,11,56,5,9,16,14,41,119,62,271,34,2,129,418,111,33,157,32,36,68,59
16,Haveri,15,25,6,3,3,8,43,167,87,92,14,0,101,198,42,21,58,8,30,36,32
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,1,12,1,1,8,2,16,89,14,73,14,0,60,295,20,9,12,1,21,31,13
18,Udupi,2,9,6,3,8,7,22,119,16,97,18,0,86,385,24,21,44,3,76,14,9
19,Chikkamagaluru,12,12,0,2,4,9,22,86,19,165,25,0,94,279,65,24,55,4,34,30,23
20,Uttara Kannada,8,23,7,2,7,3,24,76,30,142,19,0,101,231,77,24,92,3,40,29,19
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,19,35,6,1,6,10,46,154,78,179,49,1,252,442,77,29,225,3,27,37,26
22,Bagalkot,12,29,1,2,4,5,16,93,23,45,13,0,131,183,66,29,138,10,13,17,15
23,Vijayapur,18,37,11,1,3,8,35,135,49,127,31,1,132,177,44,28,212,1,17,35,25
24,Dharwad,11,6,2,0,6,3,15,39,19,35,9,1,84,98,11,15,167,1,19,14,9
25,Gadag,2,11,3,1,3,8,14,56,18,26,10,1,51,60,23,12,64,2,30,8,8
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,13,21,7,0,5,5,37,170,59,103,26,0,104,196,28,22,7,10,6,19,14
27,Bidar,9,13,5,1,5,5,48,102,48,201,51,1,106,257,30,10,168,7,10,12,7
28,Yadgir,11,13,6,0,0,7,13,52,53,53,14,0,48,103,46,15,93,1,6,17,15
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,16,22,5,0,15,8,61,131,69,310,43,0,148,512,116,12,65,1,10,43,38
30,Mandya,14,25,0,2,9,13,45,120,15,211,26,2,179,524,85,18,106,14,21,54,41
31,Chamarajanagar,4,14,3,1,7,1,28,41,18,129,6,1,75,172,66,14,36,5,9,30,22
32,Hassan,19,48,9,4,17,18,40,144,37,323,31,3,180,642,97,38,101,23,45,44,35
33,Kodagu,8,14,1,1,2,13,18,44,1,107,6,0,27,152,18,26,20,3,27,25,19
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,6,19,1,1,2,2,35,141,31,77,34,0,80,126,28,17,212,1,39,19,10
35,Koppal,5,9,3,3,2,8,33,82,14,39,17,0,77,133,21,24,171,0,7,22,16
36,Raichur,12,21,5,1,3,1,25,180,56,66,44,0,107,133,55,33,288,15,5,22,17
37,Vijayanagara,2,20,4,0,2,1,15,91,32,48,19,0,64,135,33,15,161,2,9,21,16
,Karnataka Railways,7,0,0,1,15,1,0,255,0,7,0,0,1,0,2,0,65,0,0,4,1
Total,,426,994,196,105,684,359,1399,7842,1275,6063,1061,35,4037,11030,2331,809,4275,663,7418,1244,915
