"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - April - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for April 2024 as on 30.04.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.04.2024"
1,Bengaluru City,31391,31336,232
2,Belagavi City,2600,2601,56
3,Hubli-Dharwad City,1729,1317,779
4,Mysore City,3571,3062,120
5,Mangalore City,3409,3297,508
6,Bagalkot,1345,1533,28
7,Ballari,1183,1185,24
8,Belagavi,1345,1268,5
9,Bengaluru Rural,2395,1542,438
10,Bidar,1034,1034,116
11,Chamarajanagar,1604,1587,99
12,Chikkaballapura,1574,1554,1
13,Chikkamagaluru,2194,1927,12
14,Chitradurga,2229,2050,48
15,Dakshina Kannada,771,771,0
16,Davanagere,1992,1837,9
17,Dharwad,1233,1344,205
18,Gadag,657,602,7
19,Hassan,2662,2808,57
20,Haveri,1298,1305,9
21,Kalaburagi,1111,1216,11
22,Kodagu,1013,972,2
23,Kolar,1369,1676,35
24,KGF,1081,1041,36
25,Koppal,674,757,2
26,Mandya,2721,2777,31
27,Mysuru,2302,2265,6
28,Raichur,985,920,22
29,Ramanagara,2275,2450,6
30,Shivamogga,2805,2645,117
31,Tumakuru,3299,3135,11
32,Udupi,3140,3076,0
33,Uttara Kannada,2834,2710,25
34,VijayaNagara,820,776,23
35,Vijayapura,1615,1630,23
36,Yadgir,498,534,30
,Total,94758,92540,3133
