MAJOR HEADS FOR THE YEAR 2024 (UPTO MAY),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY -
DAY","BURGLARY -
NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
A-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,78,216,63,38,422,87,350,4277,48,1820,290,13,372,1669,603,106,268,425,7729,236,158
2,Mysuru City,8,16,7,1,21,2,27,173,7,157,10,1,71,407,26,15,23,55,127,26,18
3,"Hubballi Dharwad
City",13,16,6,0,8,11,28,96,13,83,54,1,34,149,37,24,137,,118,16,15
4,Mangaluru City,3,27,7,0,9,9,15,86,7,67,9,0,71,378,36,9,82,20,56,29,13
5,Belagavi City,6,26,5,3,13,6,41,114,31,76,26,0,67,184,26,17,57,,42,13,7
6,Kalaburagi City,8,18,2,2,19,6,34,118,28,83,41,0,41,148,24,16,80,17,11,7,1
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,25,77,10,15,39,40,98,633,60,269,58,0,294,831,95,47,73,14,370,54,34
8,Ramanagara,23,31,3,9,19,18,51,210,23,234,24,1,171,562,98,31,50,14,95,56,44
9,Tumakuru,24,59,14,5,49,29,89,305,28,341,24,3,303,817,148,47,247,49,133,68,53
10,Kolar,8,30,0,1,14,7,27,92,49,156,12,1,103,232,42,18,50,7,31,41,34
11,Chickballapura,15,24,9,3,9,15,37,131,52,210,19,2,139,233,53,21,146,7,89,77,67
12,K.G.F,4,12,3,0,2,3,25,38,5,81,2,1,25,58,21,3,8,9,47,25,22
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,11,48,9,0,14,4,41,179,92,305,62,3,185,547,201,20,317,22,32,54,35
14,Davanagere,14,50,7,3,23,13,46,174,94,138,35,3,143,334,92,30,196,24,67,47,32
15,Shivamogga,15,71,6,10,19,17,53,165,78,340,40,2,169,532,135,36,189,36,52,81,67
16,Haveri,18,32,9,3,8,11,57,208,105,114,19,0,126,250,60,26,248,13,48,46,41
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,4,13,1,1,7,2,22,111,20,103,17,0,71,374,29,12,7,1,40,36,16
18,Udupi,2,15,10,4,8,10,29,142,22,123,30,0,104,476,36,23,55,4,103,25,16
19,Chikkamagaluru,15,15,0,4,4,11,27,100,25,212,31,0,117,351,77,27,73,4,51,42,30
20,Uttara Kannada,10,30,9,2,8,7,31,88,39,185,21,0,133,321,105,29,112,4,48,39,25
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,25,48,6,2,7,13,53,197,112,238,57,1,307,563,99,43,247,8,30,52,37
22,Bagalkot,13,44,2,2,5,4,32,111,30,57,16,0,161,223,79,35,181,13,15,23,17
23,Vijayapur,24,46,15,1,7,10,44,166,58,187,41,1,160,228,60,35,251,1,20,41,30
24,Dharwad,13,6,2,0,7,3,17,44,24,62,13,1,92,133,15,19,74,1,28,18,12
25,Gadag,5,13,5,1,3,10,18,71,29,32,13,1,61,73,30,15,139,2,39,12,11
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,16,35,9,1,7,6,44,220,73,145,31,2,133,236,37,28,181,11,11,27,21
27,Bidar,12,18,5,1,5,8,59,128,66,273,63,1,139,312,30,11,195,8,21,21,12
28,Yadgir,12,28,7,0,0,8,18,70,73,83,23,0,67,131,59,19,103,3,7,21,18
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,21,27,6,0,20,9,82,167,99,424,50,0,193,660,131,17,77,3,18,50,45
30,Mandya,16,30,1,3,16,17,55,151,22,280,30,3,225,668,106,22,135,19,29,63,47
31,Chamarajanagar,4,19,7,1,7,2,35,53,23,168,7,1,92,208,74,15,41,7,13,38,30
32,Hassan,21,56,13,4,23,23,52,182,43,414,40,3,217,792,127,44,68,28,57,66,53
33,Kodagu,10,14,1,1,3,15,25,51,3,133,6,0,32,192,23,26,20,5,41,28,22
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,8,23,2,1,6,3,47,166,37,95,42,0,96,160,37,18,251,2,47,24,16
35,Koppal,6,11,6,3,5,9,36,97,20,46,31,0,105,167,31,30,198,,15,26,19
36,Raichur,16,30,6,1,6,6,29,236,82,85,63,0,133,166,78,37,356,19,8,29,22
37,Vijayanagara,5,30,4,0,4,4,22,107,43,73,28,0,84,160,48,16,176,4,9,30,25
,Karnataka Railways,10,2,0,1,17,1,0,311,0,10,0,0,1,0,2,0,0,,0,4,1
Total,,541,1306,277,127,863,459,1796,9968,1663,7902,1378,45,5037,13925,3010,987,5111,859,9697,1591,1166
