Aadhaar e-Sign details of Chargesheet for the Month of May 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Gadag District,36,36,100.00
2,Mysuru City,82,76,92.68
3,Udupi District,67,59,88.06
4,Dakshina Kannada District,40,35,87.50
5,Chikkamagaluru District,172,150,87.21
6,Chitradurga District,44,38,86.36
7,Mangalore COP,154,121,78.57
8,Haveri District,26,20,76.92
9,Ballari District,46,35,76.09
10,Belagavi City,12,9,75.00
11,KODAGU(Madikeri) District,36,27,75.00
12,Uttara Kannada District,28,21,75.00
13,Belagavi District,48,34,70.83
14,Dharwad District,44,31,70.45
15,Koppal District,32,22,68.75
16,Chamarajanagar District,95,65,68.42
17,Mandya District,241,162,67.22
18,SP Railways,3,2,66.67
19,Hubballi Dharwad City,41,26,63.41
20,Tumakuru District,126,76,60.32
21,Kolar District,26,13,50.00
22,K.G.F District,19,8,42.11
23,Bagalkot District,20,8,40.00
24,Bengaluru District,253,101,39.92
25,Hassan District,139,55,39.57
26,Vijayanagara District,52,20,38.46
27,Vijayapur District,32,11,34.38
28,Bengaluru City,1067,331,31.02
29,Mysuru District,130,39,30.00
30,Kalaburagi District,32,9,28.13
31,Shivamogga District,31,8,25.81
32,Kalaburagi City,4,1,25.00
33,Yadgir District,33,6,18.18
34,Davanagere District,87,14,16.09
35,Raichur District,105,14,13.33
36,Ramanagara District,55,7,12.73
37,Chickballapura District,52,3,5.77
38,Bidar District,41,2,4.88
Total,,3551,1695,47.733
