MAJOR HEADS FOR THE YEAR 2024 (UPTO JUNE),,,,,,,,,,,,,,,,,,,,,,
Sl.No,Dist Name,MURDER,"ATTEMPT
TO
MURDER",RAPE,DACOITY,ROBBERY,"BURGLARY
- DAY","BURGLARY
- NIGHT",THEFT,RIOTS,"CASES
OF
HURT","CRUELTY
BY
HUSBAND","DOWRY
DEATHS",FATAL,"NON-
FATAL","MOLEST
A-
TION",SC/ST,GAMBLING,DP ACT,"CYBER
CRIME",POCSO,"POCSO
RAPE"
,Commissionerates,,,,,,,,,,,,,,,,,,,,,
1,Bengaluru City,98,240,86,46,493,105,421,5136,55,2138,345,14,438,2007,720,121,310,506,9263,297,211
2,Mysuru City,11,24,9,1,25,2,38,208,8,173,10,2,80,491,34,15,32,61,164,29,20
3,Hubballi Dharwad City,14,20,7,0,11,14,32,113,15,103,60,2,42,173,42,27,151,,154,23,21
4,Mangaluru City,3,33,11,2,8,10,21,107,9,80,11,0,91,441,43,11,94,23,66,34,16
5,Belagavi City,7,32,6,3,19,8,47,133,36,93,35,0,76,213,34,21,66,,53,16,9
6,Kalaburagi City,11,21,4,2,25,7,43,145,33,104,46,1,48,178,25,19,93,20,17,9,4
,Central Range,,,,,,,,,,,,,,,,,,,,,
7,Bengaluru Dist,29,84,10,17,46,48,123,765,69,326,74,2,360,990,118,51,91,17,455,63,40
8,Ramanagara,25,34,3,10,25,22,60,251,24,275,31,1,206,664,110,32,61,15,125,62,50
9,Tumakuru,25,71,15,10,56,32,114,371,34,395,29,3,363,977,172,57,294,59,169,90,71
10,Kolar,10,34,0,2,15,10,35,112,57,200,17,2,129,277,56,23,60,7,36,58,52
11,Chickballapura,18,29,9,3,12,19,41,154,68,247,27,1,158,283,69,24,167,8,106,95,81
12,K.G.F,4,13,3,0,2,6,33,48,9,83,2,1,31,68,26,5,8,10,60,26,23
,Eastern Range,,,,,,,,,,,,,,,,,,,,,
13,Chitradurga,16,53,11,0,16,8,52,216,120,385,76,3,221,648,244,24,352,24,47,65,45
14,Davanagere,14,60,7,4,29,14,61,212,111,168,44,3,169,389,117,33,259,28,82,56,41
15,Shivamogga,19,79,7,10,24,19,64,208,102,400,49,2,206,625,154,46,225,53,67,102,83
16,Haveri,18,37,10,3,8,12,71,253,142,131,21,1,139,301,70,27,274,13,62,56,51
,Western Range,,,,,,,,,,,,,,,,,,,,,
17,Dakshina Kannada,7,16,1,1,8,4,30,120,24,118,21,0,81,426,35,20,7,1,45,43,21
18,Udupi,2,19,10,6,10,11,36,163,26,143,33,0,119,553,39,27,63,6,127,29,17
19,Chikkamagaluru,17,16,0,4,4,17,31,130,27,255,36,1,129,392,87,27,98,4,59,51,33
20,Uttara Kannada,11,36,10,2,9,7,38,98,48,215,28,0,153,398,120,34,134,6,51,49,33
,Northern Range,,,,,,,,,,,,,,,,,,,,,
21,Belagavi Dist,28,57,6,2,9,16,65,240,133,279,67,1,357,669,126,45,277,8,35,63,44
22,Bagalkot,15,54,3,3,5,6,41,141,39,71,21,0,183,252,94,36,209,15,23,35,27
23,Vijayapur,34,50,17,1,6,15,53,191,70,222,54,1,185,272,77,42,288,2,28,51,37
24,Dharwad,13,9,2,0,6,3,17,53,32,75,15,1,105,152,17,19,87,1,34,24,16
25,Gadag,5,14,5,1,3,10,23,87,37,45,13,1,68,82,34,18,161,3,47,19,18
,North Eastern Range,,,,,,,,,,,,,,,,,,,,,
26,Kalaburagi,19,40,11,1,8,10,53,247,82,185,39,2,153,275,44,33,195,15,17,32,24
27,Bidar,16,21,6,2,6,10,67,172,86,322,77,1,163,362,35,16,216,10,30,26,17
28,Yadgir,12,32,9,0,1,8,20,96,85,114,26,0,80,149,66,20,136,6,7,30,27
,Southern Range,,,,,,,,,,,,,,,,,,,,,
29,Mysuru Dist,23,29,7,0,24,15,103,218,104,478,58,1,224,769,151,20,90,5,27,66,58
30,Mandya,16,37,1,4,17,21,68,184,27,317,35,3,261,783,123,32,168,24,34,74,53
31,Chamarajanagar,6,24,7,1,6,2,44,59,25,201,8,2,114,248,88,18,47,8,13,52,40
32,Hassan,26,67,14,8,27,28,72,208,50,500,50,2,254,947,154,51,80,32,77,80,66
33,Kodagu,11,20,2,1,4,15,29,55,4,159,9,0,43,219,33,30,23,5,49,34,26
,Ballari Range,,,,,,,,,,,,,,,,,,,,,
34,Ballari,8,27,2,1,7,3,53,193,56,119,61,0,118,191,47,18,302,2,60,27,16
35,Koppal,7,11,7,3,7,13,41,118,21,50,36,0,124,200,61,34,253,,16,36,29
36,Raichur,18,38,7,1,10,10,39,281,103,120,68,0,156,196,103,42,395,34,8,42,33
37,Vijayanagara,5,37,5,0,5,6,29,122,56,82,36,0,102,183,64,18,282,5,11,34,28
,Karnataka Railways,10,2,0,1,22,1,0,377,0,12,0,0,1,0,4,0,,,0,4,1
Total,,631,1520,330,156,1018,567,2208,11985,2027,9383,1668,54,5930,16443,3636,1136,6048,1036,11724,1982,1482
