"KARNATAKA SAKALA SERVICES ACT, 2011 AND (AMENDMENT) ACT, 2014",,,,
Unitwise - Month wise Report on Receipts & Disposals - June - 2024,,,,
"Police Department has implemented 24 SAKALA Services through PoliceIT Application. The district wise
details of received, disposed and overdue status of services for June 2024 as on 30.06.2024 are as under.",,,,
Sl No,District,"No. of SAKALA Receipts
during the Month","No. of SAKALA Disposals
during the Month","No. of Pendency After due
date as on 30.06.2024"
1,Bengaluru City,20580,22217,150
2,Belagavi City,1937,2438,36
3,Hubli-Dharwad City,924,1104,140
4,Mysore City,2759,2947,37
5,Mangalore City,2001,2608,22
6,Bagalkot,980,1059,15
7,Ballari,919,950,22
8,Belagavi,970,1161,24
9,Bengaluru Rural,1730,2949,133
10,Bidar,818,1063,110
11,Chamarajanagar,854,1051,52
12,Chikkaballapura,1179,1157,0
13,Chikkamagaluru,1252,1317,8
14,Chitradurga,1377,1444,8
15,Dakshina Kannada,558,670,1
16,Davanagere,1521,1803,16
17,Dharwad,682,1008,78
18,Gadag,424,572,3
19,Hassan,1872,2083,0
20,Haveri,796,948,4
21,Kalaburagi,796,1059,9
22,Kodagu,609,666,19
23,Kolar,914,1044,13
24,KGF,591,550,2
25,Koppal,517,549,1
26,Mandya,1635,1972,34
27,Mysuru,1492,2114,4
28,Raichur,520,604,23
29,Ramanagara,1548,1989,12
30,Shivamogga,1862,2069,30
31,Tumakuru,2232,2267,40
32,Udupi,1187,1445,0
33,Uttara Kannada,1604,2080,10
34,VijayaNagara,800,717,13
35,Vijayapura,1285,1333,31
36,Yadgir,368,390,38
,Total,62093,71397,1138
