Aadhaar e-Sign details of Chargesheet for the Month of June 2024,,,,
Sl No.,District_Name,"Charge
sheeted","e-Signed
Charge sheeted","Charge sheet
%"
1,Koppal District,42,41,97.62
2,Belagavi City,33,32,96.97
3,Dakshina Kannada District,57,53,92.98
4,Dharwad District,53,49,92.45
5,Chikkamagaluru District,139,127,91.37
6,Mangalore COP,128,116,90.63
7,Mysuru City,90,80,88.89
8,Gadag District,49,39,79.59
9,Kalaburagi City,17,13,76.47
10,Ramanagara District,91,68,74.73
11,Udupi District,56,41,73.21
12,Ballari District,58,42,72.41
13,Belagavi District,73,48,65.75
14,Mandya District,293,187,63.82
15,Haveri District,22,14,63.64
16,Mysuru District,143,90,62.94
17,Uttara Kannada District,53,33,62.26
18,Yadgir District,64,39,60.94
19,Hassan District,113,68,60.18
20,Bengaluru District,336,189,56.25
21,Chamarajanagar District,174,95,54.60
22,Davanagere District,113,56,49.56
23,Vijayanagara District,85,41,48.24
24,K.G.F District,19,8,42.11
25,Vijayapur District,52,21,40.38
26,Chitradurga District,44,16,36.36
27,Kalaburagi District,21,7,33.33
28,Tumakuru District,127,41,32.28
29,Hubballi Dharwad City,45,14,31.11
30,Bengaluru City,1241,330,26.59
31,Shivamogga District,93,23,24.73
32,KODAGU(Madikeri) District,45,11,24.44
33,Bidar District,45,10,22.22
34,Bagalkot District,16,3,18.75
35,Raichur District,84,12,14.29
36,Chickballapura District,93,10,10.75
37,Kolar District,20,0,0.00
38,SP Railways,0,0,0.00
Total,,4227,2067,48.90
