Sl.NO,Service Name,Received,Disposed,Pending
1,Job / Service Verification,30492,17086,13406
2,"Police Verification Certificate(PVC) for
Central/State Govt employees if request is
received directly by the employee / By Concerned
Department",783,518,265
3,"Police Clearance Certificate for going abroad (Visa
for studies)/ Police Clearance Certificate for
Foreign Nationals",285,200,85
4,"Police verification Certificate for
Coolies/Loader/Class IV Security Staff/ Supervisor
at Airport (Individual applicants only)",6556,3515,3041
5,"Police Verification Certificate for domestic
servants/house keeping",0,0,0
6,"Police Verification Certificate for Institutions/
Companies",66,34,32
7,Police verification Certificate for Marriage Alliances,22,14,8
8,"Police verification Certificate for Training
Apprenticeship at Public Undertakings /for
trainees/ Workers working on daily wages at Govt.
Institutions",3567,1931,1636
9,Amplified Sound System,320,247,73
10,"Missing Report of documents, Mobile phone etc",471,77,394
11,Disposal of petitions,34,7,27
12,Locked Home Details,0,0,0
13,Senior Citizen Registration,2,0,2
14,Complaint Registration,0,0,0
15,License for Amusement,0,0,0
16,No obligation to return to India (NORI) Certificate,0,0,0
17,"NOC for petrol pump,gas agency,hotel,bar etc.",1,0,1
18,Permission for Peaceful Assembly and procession,2,0,2
19,"Application for Temporary License for Sale of
Crackers",0,0,0
20,"NOC for setting up of Petroleum, Diesel and
Naphtha sale and transport",0,0,0
Total,,42601,23629,18972
